word,synonym,description
"SINPFEMO 약어, -略語, SINPFEMO code",,"무선 통신(주로 무선 전화)에서 수신된 신호의 강도, 혼신, 잡음의 정도 등 특성을 통보할 때에 사용되는 약어. 국제 전기 통신 연합(ITU)의 전파 규칙(RR)의 부록 15에 규정되어 있는 SINPFEMO 각 문자의 의미는 다음과 같다. - S(Signal strength): 신호의 강도,  - I(Degrading effect of Interference): 혼신에 의한 품질의 저하 정도,  - N(Degrading effect of Noise): 잡음에 의한 품질의 저하 정도,  - P(Degrading effect of Propagation Disturbance): 전파 전파(電波傳播) 장애에 의한 품질의 저하 정도,  - F(Frequency of Fading) 페이딩의 주기,  - E(Modulation Quality): 변조의 품질,  - M(Modulation Depth): 변조의 심도,  - O(Overall Rating): 종합적 평가  수신 신호의 이러한 특성에 관하여 각각 양호한 상태에서 불량한 상태까지 5단계로 구분하여 그것을 5에서 1까지의 숫자로 등급을 매긴다. 수가 많을수록 양호한 상태의 특성을 표시한다."
"SINPO 약어, -略語, Signal strength, Interference, Noise, Propagation, and Overall rating, SINPO code",,"무선 통신(주로 무선 전신)에서 수신된 신호의 강도, 혼신, 잡음의 정도 등 특성을 통보할 때에 사용되는 약어. 국제 전기 통신 협약(ITU Convention)에 부속된 전파 규칙(RR: Radio Regulations)에 규정되어 있는 SINPO 각 문자의 의미는 다음과 같다. S(Signal strength): 신호의 강도, I(Degrading effect of Interference): 혼신에 의한 질의 저하 정도, N(Degrading effect of Noise): 잡음에 의한 질의 저하 정도, P(Degrading effect of Propagation Disturbance): 전파 전파(傳播, propagation) 장애에 의한 질의 저하 정도, O(Overall rating): 종합적 평가. 수신 신호의 이러한 특성에 관련하여 각각 양호한 상태에서 불량한 상태까지 5단계로 구분하여 그것을 5에서 1까지의 숫자로 등급을 매긴다. 수가 클수록 양호한 상태의 특성을 표시한다."
"SL 방식, -方式, Submarine Lightguide System",,"미국 벨 연구소가 개발한 해저 광케이블 방식. 광케이블 방식으로는 세계 최초로 발표된 광섬유에 의한 디지털 전송 방식이다. 최대 길이 8,000km, 중계 간격 55km, 전송 속도 296Mbps의 광섬유 1쌍 또는 2쌍으로 구성된다. 296Mbps는 64kbps의 펄스 부호 변조(PCM) 음성 3,780회선에 해당하고, 케이블 용량으로는 3,780 또는 7,560회선이다. 현재 제8대서양 횡단 케이블(TAT-8) 및 캘리포니아-하와이의 제4케이블(HAW-4) 등에 사용되고 있다."
"SMS 피싱, SMS Phishing",,휴대폰의 SMS를 이용한 결제 사기 수법. 메시지나 사진이 도착했다면서 가입자를 유료 페이지로 유도하여 정보를 자동으로 이용하게 함으로써 사용료를 결제하게 만드는 수법 같은 것이 대표적이다.
"SNA망 상호 접속, -網相互接續, SNA network interconnection",,IBM사의 시스템 네트워크 구조(SNA)의 접속 기능을 확장하기 위해 1984년 도입된 접속 기술. 형식이 다른 SNA 네트워크의 장치나 응용 프로그램이 상호 결합할 수 있다.
"SOS 국민 안심 서비스, -國民安心-",,"범죄에 취약한 어린이 등에 대한 범죄 증가에 대응하기 위하여 정부가 시행하고 있는 범죄 예방 서비스. 긴급한 상황이 생겼을 때, 미리 등록한 휴대 전화나 전용 단말기 등을 누르기만 해도 구조 신호와 신고자의 위치 정보를 112 신고 센터나 보호자에게 제공하는 서비스이다."
"SPARC 인터내셔널, SPARC International",,"미국 선 마이크로시스템즈사가 개발한 축소 명령 집합 컴퓨터(RISC) 칩인 SPARC 프로세서의 제조업체, SPARC를 채택하고 있는 제조업체 및 이를 지원하는 소프트웨어 하우스 등으로 구성된 업계 단체. SPARC 칩의 규격이나 기술 정보, 응용 프로그램 2진 인터페이스(ABI) 등을 공개하고 있으며, SPARC 아키텍처의 라이선스를 부여하고 있다."
"SPC 교환기, -交換機, stored program control exchange",,"축적 프로그램 제어 방식을 사용한 교환기. 축적 프로그램 제어(SPC) 방식은 자동 전화 교환기의 제어에 컴퓨터 기술을 도입하여, 프로그램에 따라서 교환 동작을 행하게 하는 방법을 말한다."
"SP 모드, standard play mode",,"가정용 비디오 방식(VHS) VTR 녹화 시간 길이의 표준이 되는 모드. 기록 트랙 폭은 58mm이며, 트랙 폭이 58mm보다 좁으면 비디오 테이프의 호환성을 유지하기 위해 58mm 폭을 전부 사용해야 한다. 실제로는 대부분의 기종이 특수 재생용 헤드를 겸하고 있으므로 이 헤드의 적합한 폭은 48mm 전후로 설정되어 있다. SP 모드는 EP 모드에 비해 트랙 폭이 넓지만 헤드 폭이 훨씬 좁기 때문에 인접 트랙 신호와 간섭이 상대적으로 적으므로 신호 대 잡음(S/N)이 개선되어 고화질이지만 녹화 시간은 EP 모드의 3분의 1로 짧다. 시판되고 있는 VHS 테이프는 SP 모드로 120분 녹화할 수 있는 것이 대부분이며 그 이상의 것도 있다. 다만, 오랜 시간을 녹화할 수 있도록 테이프 두께를 얇게 만들었기 때문에 테이프가 꼬이거나 기구부에 휘감기기 쉽다."
"SP 부호화 FSK 전송, -符號化-傳送, Split Phase encoding Frequency Shift Keying transmission, SP encoding FSK transmission",,"기저 대역 신호의 부호 형식으로 SP 부호가 사용되는 방식. 이동 통신에서는 음성 신호 등의 통화 신호 외에 무선 채널 제어를 위해, 기지국과 이동국 간에 각종 제어 신호의 전송이 이루어진다. 통화용 전송계로 아날로그 FM 전송이 사용되지만, 제어 신호 전송에는 디지털 신호가 적당하므로 거기에 통화용의 전송계를 공용하는 것이 바람직하다. 아날로그 FM 전송계를 공용하는 디지털 제어 전송으로는 주파수 변조법의 하나인 SP(split phase) 부호화 신호에 의한 직접 주파수 변조(direct FM)가 있다. SP 부호화 FSK 방식은 기저 대역 신호의 부호 형식으로 SP 부호가 사용된다. SP 부호는 각 비트의 중간점으로 1 및 0의 극성이 반전하는 부호이며, 비제로 복귀(NRZ) 부호 형식의 디지털 신호와 클록 신호와의 배타적 논리합을 취해서 얻어진다. SP 부호화 FSK 전송법에는 NRZ 신호에 대한 SP 부호화를 행하여 얻어진 신호에 의해 직접 주파수 변조(direct FM)를 해서 얻어진 신호를 송신하고, 수신 측에서는 일반적인 주파수 검파에 의해 복조를 행한다. SP 부호화 FSK 전송의 특징은 다음과 같다. ㉠ 1비트마다 직류 평형이 취해지기 때문에 복조 회로에서 직류 차단의 영향을 받지 않는다. 또 수신 측에서의 타이밍 추출이 용이하다. ㉡ 비교적 저속(300~ 1,200b/s)의 디지털 신호 전송에 적합하다. ㉢ NRZ 부호에 의한 FSK 전송과 비교하여, 약 2배의 전송 대역폭이 필요하다."
"SSL 기반 가상 사설망, -基盤假想私設網, Secure Sockets Layer Virtual Private Network, SSL VPN",,"보안 소켓 계층(SSL: Secure Sockets Layer) 프로토콜 기반으로 한 가상 사설망(VPN) 정보 처리 방법. 웹 브라우저와 서버 간의 통신에서 정보를 암호화하는 SSL 보안 프로토콜을 사용하기 때문에, SSL VPN은 구축이 간편하고 비용이 적게 든다. 반면 인터넷 프로토콜(IP) 보안 프로토콜을 이용하는 IPsec VPN 방법은 별도의 하드웨어 장비가 필요하다."
"STN-인터내셔널, Scientific & Technical Information Network International",,"일본의 과학 기술 진흥 사업단(JST), 미국의 CAS(Chemical Abstract Service), 독일의 FIZ Karlsruhe의 3개 정보 서비스 센터를 국제 네트워크로 연결한 세계적인 규모의 과학 기술 정보 네트워크. STN은 1국 1기관의 서비스가 아니라 국제 협력을 통해 적은 비용으로 양질의 정보를 제공한다. 데이터베이스는 각 기관에 분산되어 있지만 이용자는 한 정보 서비스 센터에 접근하여 데이터베이스를 자유롭게 검색할 수 있다."
"STN형 액정, -型液晶, SuperTwisted Nematic Liquid Crystal, STN LC",,"가늘고 긴 액정 분자의 배열 방향을 2매의 유리 기판 사이에 180° 틀어서 배열한 액정 셀(cell). 제품으로는 200~240°의 것도 있다. 화소 수가 많은 표시 패널에 적합하다. 90° 틀어서 배열한 구조의 TN형(Twisted Nematic mode) 액정에 비해 인가 전압-투과율 특성이 급격하게 된다. 이 때문에 온오프 전압(실효 전압)의 차를 크게 할 수 없는 대화소 용량의 패널에서도 콘트라스트(contrast)가 확보된다. 이미 640×480화소의 흑백 패널, 흑백 패널과 컬러 필름을 조합한 컬러 표시 패널도 노트북형 등 소형 휴대용 컴퓨터에 탑재되어 있다. STN형 액정 셀과 능동 매트릭스 구동법을 조합해서 만든 새로운 표시 패널도 개발되어 있는데, 응답 속도가 빨라 기존의 TN형 액정 패널로는 할 수 없었던 동화 표시도 가능하게 되었다."
"ST 링크, Studio Transmitter Link, STL",,방송국의 연주소에서 송신소까지 방송 프로그램을 전송하는 회선. 동축 케이블 및 주파수 변조(FM)된 마이크로파를 사용하는 방법이 있다. 역방향에 이 회선을 사용할 때는 TS 링크라고 부른다.
"sub-GHz 대역, -帶域, sub-GHz",,기가헤르츠(GHz) 이하의 800~900MHz 주파수 대역. 주파수 수요가 증가하면서 Sub-GHz 대역 주파수 사용과 기준에 대한 표준이 IEEE 802.15를 중심으로 진행되고 있다.
"SW 기술자 신고제, -技術者申告制",,소프트웨어(SW) 기술자들이 지정된 경력 관리 기관에 프로젝트와 근무 경력 등을 신고하면 기관에서 발급한 증명서로 경력을 입증하는 제도. 인건비 산정 시 합리적인 기준을 마련하고 SW 기업의 폐업으로 인해 경력 입증에 어려움을 겪었던 중소 SW 기술자들을 보호하기 위해 도입되었다. 정부는 SW 기술자 경력 관리 기관으로 한국소프트웨어산업협회(KOSA)를 선정했다.
"SW 마에스트로, SW Maestro",,"정부에서 소프트웨어분야 전문가를 육성하기 위해 운영 중인 제도. 소프트웨어 산업 분야별 전문가를 멘토로 지정하여 도제식 교육 방식을 통해 단계별 프로젝트를 수행하면서 지도받는 시스템이다. 최종 선정된 '국가 SW 마에스트로'에게는 정부가 수여하는 인증서 및 지원금, 군복무 연계 지원, 취업·창업 등 인센티브가 제공될 계획이다. URL: www.swmaestro.kr"
"SYN 동기 방식, -同期方式, SYN synchronous method",,일련의 문자열을 나타내는 하나하나의 신호군에 동기 신호 문자가 선행하는 동기 전송 방식.
"SZ 꼬임, SZ twisting",,"케이블 심선을 꼬는 방법의 하나. 일정한 간격마다 오른꼬임, 왼꼬임을 번갈아 하여 꼬임의 방향이 바뀌는 점에서 접착제 등을 사용하여 꼬임의 풀림을 방지한다. CCP 케이블 등 작은 쌍의 플라스틱 절연 케이블의 일부에 사용되며, 늘어짐을 확보함으로써 심선의 가려뽑기 작업이 용이하다."
"S 인터페이스, S interface",,"ISDN 사용자-망 인터페이스의 일종으로 참조점 S에서의 인터페이스. 즉, 1종 단말 장치(TE1)와 2종 망 종단 장치(NT2) 또는 1, 2종 망 종단 장치(NT12) 간의 표준 인터페이스이다. S 인터페이스는 2선식 물리적 인터페이스로 기본 속도 서비스 사용자(한국은 1종 계약 가입자), 즉 하나의 가입자 회선으로 2개의 B 채널(64kbps)과 1개의 D 채널(16kbps)을 사용하는 2B+D 구조의 사용자-망 인터페이스의 표준 인터페이스이다."
"S 주파수대, -周波數帶, S band",,"관습적으로 사용되는 주파수대의 호칭으로, 위성 통신이나 마이크로파 통신에서 사용되는 1.55~3.9GHz(미국의 경우), 또는 2.5~4GHz(영국의 경우)의 주파수대. 최근 위성 디지털 멀티미디어 방송(DMB)용으로 사용하고 있으며 우리나라도 위성 DMB 주파수로 2.630~2.650GHz를 사용하고 있다."
"S 타입 카드, s-type card",,"종합 정보 통신망(ISDN)의 디지털 신호와 컴퓨터에서 사용하는 디지털 신호를 맞춰주는 기능을 하는 장치. 흔히 종합 정보 통신망(ISDN) 카드, 종합 정보 통신망(ISDN) 모뎀으로 불린다."
