"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"사무 처리 컴퓨터화 시스템, 事務處理-化-, System For Computerization Of Office Processing, SCOOP",,"미국 펜실베이니아 대학에서 개발한, 사무 처리 기술은 물론 전자 공학에도 이용되는 표기법. 기본적으로는 페트리 네트(Petri net)를 사용하여 처리의 흐름을 표시하고, 각 처리의 내용은 생성 규칙에 의해 표현한다."
"사물 웹, 事物-, Web of Things, WoT",,모든 사물이 웹으로 연결되는 환경. 사물 웹은 모든 사물이 인터넷으로 연결되는 사물 인터넷(IoT)에서 유래한 용어로 스마트 사회를 만드는 핵심 기술이다. 스마트 사회는 사람과 사물은 물론 사물과 사물간에도 소통하면서 지능화된 서비스를 제공하는 환경을 말한다.
"사물 인터넷, 事物-, Internet of Things, IoT",,"정보 통신 기술을 기반으로 실세계(physical world)와 가상 세계(virtual world)의 다양한 사물들을 연결하여 진보된 서비스를 제공하기 위한 서비스 기반 시설(※ 관련: ITU-T Y.2060). 유비쿼터스 공간을 구현하기 위한 인프라 컴퓨팅 기기들이 환경과 사물에 심겨 환경이나 사물 그 자체가 지능화되는 것부터 사람과 사물, 사물과 사물 간에 지능 통신을 할 수 있는 사물 통신(M2M: Machine to Machine)의 개념을 인터넷으로 확장하여 사물은 물론, 현실과 가상 세계의 모든 정보와 상호 작용하는 개념으로 진화했다. 사물 인터넷(IoT)의 주요 기술로는 센싱 기술, 유무선 통신 및 네트워크 인프라 기술, 사물 인터넷 인터페이스 기술, 사물 인터넷을 통한 서비스 기술 등이 있다.  ※ 관련 : TTA 단체표준 TTAK.KO-06.0346 사물인터넷 정의 및 참조모델 ,  ☞ 사물 인터넷 인포그래픽"
"사물 지능 통신, 事物知能通信, Object to Object Intelligent Network, O2N",,"사람이나 사물과 환경에 대한 정보를 감지, 저장, 가공, 통합할 수 있고, 언제 어디서나 안전하고 편리하게 원하는 맞춤형 지식/지능 정보 서비스를 제공할 수 있는 방송 통신 융합 ICT 인프라. 광대역 통합망(BcN), 차세대 인터넷 주소 체계(IPv6) 같은 사람 중심의 인터넷 인프라를 인간 대 사물, 사물 대 사물 간의 영역으로 확대하고 연계해 안전하게 정보를 감지, 전달할 수 있는 인프라를 말한다. 가령, 지하철의 철로나 기둥 터널 같은 시설물에 부착된 센서들이 각자 통신을 하면서 정보들을 모아 보내주게 되면 그 정보를 얻은 사람들은 쉽고, 안전하고, 경제적으로 시설물을 관리할 수 있다."
"사물 통신, 事物通信, Machine to Machine, M2M",,"기계와 기계 사이의 통신. &nbsp;사물 통신(M2M)은 기계, 센서, 컴퓨터 등 다양한 장치들이 유무선 통신 기술을 이용해 서로 정보를 교환하게 함으로써 개별 장치들의 기능이나 성능을 개선시켜 주고 개별 장치들이 제공하지 못했던 새로운 지능형 서비스를 제공한다. 사물 통신의 활용 분야는 매우 넓으나, 전기, 가스 등 원격 검침, 신용카드 조회, 위치 추적, 시설물 관리 등의 분야에 주로 사용된다. 사물 통신의 개념을 일반 사물이나 사람은 물론 공간, 프로세스 등 세상에 존재하는 유무형의 객체로 확장한 것이 사물 인터넷(IoT: Internet of Things)이다.&nbsp;"
"사물 통신, 事物通信, Machine-Type Communications, MTC",,"3GPP에서 추진한 사물 통신 관련 표준. MTC는 사람의 직접적인 조작이나 개입 없이 사물들을 무선으로 연결하여, 언제, 어디서나 필요한 정보를 획득하고 전달할 수 있도록 하기 위한 데이터 통신의 하나이다. ETSI에서는 사물 통신(M2M: Machine To Machine), ITU-T에서는 사물 인터넷(IoT: Internet of Things)이라고 부른다."
"사본 오류, 寫本誤謬, transcription error",,"작업자나 광 문자 인식(OCR) 프로그램에서 발생하는 데이터 입력 오류. 작업자 입력 오류는 키보드 오타에서 발생하며, 전자적 입력 오류는 훼손된 인쇄물이나 비정상 문자 주사 시 발생한다. 예를 들면, 1234를 1235로 입력하는 것을 말하며, 1243과 같이 글자 위치가 바뀐 교차 오류(transposition error)와 구별된다."
"사분 제곱 곱셈기, 四分-器, quarter-squares multiplier",,다음 등식을 사용하는 아날로그 컴퓨터의 곱셈기.
"사불, Semi-Automatic Business Research Environment, SABRE",,"아메리칸 항공(American Airline)이 만든 민간 최초의 온라인 실시간 좌석 예약 시스템. 사불 또는 세바라 부르기도 한다. 1964년에 영업을 개시해서 자회사 항공편의 항공권 예약 시스템에 활용, 많은 고객을 확보하는 데 성공하였다. 그 후 1976년에는 여행 대리점의 요망에 따라 타 항공사의 전편 예약 시스템으로 확장해서 같은 시기에 시작한 유나이티드 항공(United Airline)의 유사 시스템인 아폴로(APOLLO)와 쌍벽을 이루었다. 대리점에 비치된 서버 단말은 공석 항공편 이름 검색에서 알파벳순으로 표시하도록 프로그래밍되어 있기 때문에 독점 금지법의 금지 명령 발효까지는 아메리칸 항공에 유리하였다. 그 후 서버는 세계 각국의 여행 대리점과 항공권 예약을 할 수 있는 부가 가치 통신망(VAN)으로 발전되었다."
"사상, 寫像, mapping",,"하나의 값을 다른 값으로 또는 한 데이터 집합을 다른 데이터 집합으로 번역하거나, 2개의 데이터 집합 사이에 1:1 대응 관계를 설정하는 것. 컴퓨터 그래픽스에서 3차원 대상을 평면에, 또는 2차원 이미지를 구체(球體:sphere) 위로 사상하는 것 등이 있다. 또한 가상 기억 시스템에 기억되어 있는 가상 주소를 컴퓨터가 물리적 주소로 번역하는 것도 사상하는 것이다. 도메인 이름을 인터넷 주소로 번역하는 서버 프로그램의 기능이나 메시지 통신 처리 시스템(MHS)에서 디렉터리 이름을 발신자/수신자 주소(O/R address)로 번역하는 메시지 전송 시스템(MTS) 기능도 사상하는 것이다."
