"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"설치 가능 장치 구동기, 設置可能裝置驅動機, installable device driver",,"사용자가 운영 체계(OS) 내부에 설치하여 사용할 수 있는 장치 구동기. 특정한 주변 기기에 대응(지원)하기 위해, 또는 기능이 떨어지는 기존의 장치 구동기의 기능을 무시하기 위해 원하는 장치 구동기를 필요에 따라 설치할 수 있다."
"설치 기간, 設置期間, installation time",,"어떠한 시스템을 도입하여 설치하기 시작해서 하드웨어를 조정하고, 시험 프로그램을 가동하여 이상 없이 돌아감을 확인한 후 사용자에게 인도할 때까지의 시간."
"설치 날짜, 設置-, installation date",,"새로운 장치가 사용되기 위하여 준비된 날짜. 사용료는 장치를 설치하고, 사용 준비가 되고 약정된 응용의 수행 능력이 정상적으로 수행될 때부터 계약인이 지불을 시작한다."
"설치 디스켓, 設置-, installation diskette",,"컴퓨터 시스템에 새로운 소프트웨어나 하드웨어 장치를 설치하는 프로그램이 들어 있는 디스켓. 하드웨어나 소프트웨어와 함께 보통 플로피 디스켓 형태로 제공되며, 일부 대용량 프로그램의 경우 콤팩트 디스크(CD) 형태로 제공되기도 한다."
"설치 프로그램, 設置-, installation program",,"소프트웨어 또는 하드웨어 제품을 컴퓨터 시스템에 좀 더 쉽고 간편하게 설치할 수 있도록 도와주는 프로그램. 사용자에게 장치, 프린터, 모니터 등 복잡한 구성 작업을 안내하는 프로그램이기도 하며, 복사 보호 프로그램인 경우에는 일반 운용 명령으로 복사할 수 없도록 한다."
"설치형 블로그, 設置型-, Installation Type Blog",,"개인이 자기 서버에 설치하고 운영하는 개인용 블로그. 자신의 고유한 도메인을 사용할 수 있고, 글이나 그림 등 콘텐츠가 개인에게 귀속되며, 디자인이나 구조를 마음대로 변경할 수 있는 장점이 있다. 설치형 블로그와 대응되는 것으로는 다음이나 네이버 같은 서비스형, 가입형 블로그가 있다."
"섬유 레이저, 纖維-, fiber laser",,광섬유 속에 능동 매질(能動媒質)을 지닌 레이저. 여기(勵起) 매질에 저준위의 희토류 할로겐 화물을 첨가한 광섬유 레이저를 말한다. 넓은 범위에 걸쳐서 출력 조절이 가능하므로 광대역으로 할 수 있다.
"섭동, 攝動, perturbation",,"인공위성이 소정의 궤도로부터 벗어나는 현상. 궤도상에서 위성의 운동은 지구가 완전 구형이라는 가정하에 지구와 위성의 상호 작용으로 나타나는데, 지구의 모형이 완전 구형이 아니며 여기에 지구의 중력장이 작용하고 달과 태양의 인력 작용과 태양 복사압 등이 궤도 요소에 변화를 주기 때문에 섭동 현상이 일어난다."
"성능 감시, 性能監視, performance monitoring",,"시스템이 성능 목적에 부합된다는 것을 확인하기 위해, 또는 기존 우선 순위 시스템의 수정 여부를 판단하는 데 필요한 데이터를 관리하기 위하여, 평가자가 기존 시스템상에 실행 평가 데이터를 누적하여 감시하는 것."
"성능 관리, 性能管理, performance management",,성능 평가를 가능하게 하기 위한 정보의 관리와 제어를 하는 기능.
"성능 명세, 性能明細, performance specification",,①시스템이나 시스템 구성 요소를 위해 성능의 필요 조건을 설명하는 명세서. ②기능상의 명세서.
"성능 시험, 性能試驗, performance test",,"개발된 시스템이나 시스템 구성 요소(component) 또는 소프트웨어 프로그램이 주어진 환경 하에서 응답 속도, 처리량, 처리 속도 등의 항목에 대하여 요구된 목표값를 달성하는지를 확인하는 시험."
"성능 예측 방법, 性能豫測方法, performance projection method",,새로운 컴퓨터 시스템이나 부분적인 하드웨어 및 소프트웨어에 대해 이제까지 측정 평가되지 않은 성능을 알아내기 위한 평가 방법.
"성능 저하, 性能低下, degradation",,"시스템이 작동은 하지만 제공되는 서비스의 수준이 정상 상태보다 떨어지는 특수한 상태. 멀티프로세서 시스템에서 어떤 프로세서가 고장 나거나, 중복 연결된 입출력 채널 중 어떤 것이 고장 난 상태 등이 있다."
"성능 저하 검사, 性能低下檢査, degradation testing",,극한 가동 상황에서 시스템의 수행 능력을 측정하는 것. 성능 특성의 점차적인 변화를 결정하기 위해 검사가 여러 번 행해진다.
"성능 측정, 性能測定, performance measure",,인공 지능에서 주로 탐색 알고리듬의 발견적(heuristic) 능력을 측정함으로써 성능 평가를 하는 것. 주로 경험에 기초를 두고 결정을 내리지만 완전하지는 않다. 집중도와 분기 계수 같은 계산에 의한 방법들이 이용되고 있다.
"성능 측정 방법, 性能測定方法, performance measurement method",,감사 대상 시스템의 실행 결과가 목적에 부합되는지와 성능과 효율성을 평가하는 방법. 감사 대상 시스템의 효율성을 평가한 후 정상 프로세스보다 많은 시간을 필요로 하는 작업을 추출하여 프로그램의 부정 부분 수정과 회사 업무 목적 이외의 부정 사용을 발견하도록 한다.
"성능 평가, 性能評價, performance evaluation",,"컴퓨터의 성능을 평가하는 방법. 입출력 속도, 주기억 장치의 읽기 쓰기의 속도, 내부에서의 전송 속도, 연산 속도 등을 종합적으로 평가한다. 또한 소프트웨어와 하드웨어의 설계를 지원하고, 컴퓨터 시스템의 선택 및 개선되어야 할 기존의 시스템에 대한 성능 측정을 목적으로 한다."
"성능 평가 기준, 性能評價基準, benchmark",,컴퓨터 시스템의 성능을 측정하기 위하여 사용되는 기법 중의 하나. 보통 컴퓨터 구입을 위한 기종 간의 성능 비교에 이용된다. 미리 준비한 동일한 프로그램을 여러 기종에서 수행하여 처리에 소요된 시간을 비교하여 기종의 우열을 판별한다.
"성능 평가 기준 문제, 性能評價基準問題, benchmark problem",,여러 기종의 컴퓨터 하드웨어와 소프트웨어의 능력을 평가하고 비교하기 위해 사용되는 문제.
"성능 필요 조건, 性能必要條件, performance requirement",,"시스템이나 시스템 구성 요소가 가져야 하는 성능의 특징을 상술하는 필요 조건. 속도, 정확도, 빈도 수 등이 있다."
"성문, 聲紋, Voiceprint",,"각 개인이 유일하게 지니는 음성 특성을 계량화한 것. 사람의 입과 목구멍의 모양을 바탕으로 수학적으로 공식화한 것으로, 사용자 인증을 위한 음성 신원 확인 시스템 등에서 사용된다."
"성문 표준, 成文標準, Document Standards",,"국가 사회의 모든 분야에서 총체적인 이해성, 효율성 및 경제성 등을 높이기 위하여 강제 또는 자율적으로 적용하는 문서화된 과학 기술적 기준, 규격, 지침 및 기술 규정. 대표적인 성문 표준으로는 한국산업표준 ㉿가 있다."
"성장 접합 트랜지스터, 成長接合-, grown junction transistor",,결정 성장의 단계에서 불순물 및 그 농도를 조절하여 p-n-p 또는 n-p-n 접합체를 제조하는 공정에 의하여 만들어진 트랜지스터. 제조된 첫번째 형태의 양극성 접합 트랜지스터(BJT)이다.
"성장 확산 트랜지스터, 成長擴散-, grown diffusion transistor",,"인상법(引上法)에 의해서 컬렉터 영역을 성장시킨 후 베이스와 이미터를 만드는 불순물을 동시에 투입한 다음, 다시 인상을 계속하여 이미터를 성장하고 있는 동안에 베이스 불순물을 컬렉터 쪽으로 확산시킴으로써 베이스 영역을 형성시킨 트랜지스터. 이 트랜지스터의 베이스 층은 매우 얇아 10~100MHz의 고주파에서 사용되도록 고안된 것이지만 현재는 거의 사용되지 않는다."
"성층권, 成層圈, stratosphere",,"지표에서 12~55km의 대기층. 지구를 둘러싸고 있는 대기는 지구에서 멀어짐에 따라 온도가 낮아져 지상 12km 부근에서는 -53℃에 달하고, 그 이상에서는 온도가 거의 일정하며 기류도 거의 없게 된다."
"성층권 무선 중계 시스템, 成層圈無線中繼-, stratospheric radio relay system",,"고도 20km 정도의 성층권에 통신 기기를 탑재한 무인 비행체를 지상으로부터는 정지되어 있는 것처럼 보이는 범위에 장기간 체공(滯空)시켜서, 이것을 무선 중계 기지로 이용함으로써 통신/방송 등 서비스를 제공하는 시스템. 이 시스템은 고도가 2,000배 가까이 되는 정지 위성 시스템과 비교하면, 전송로 길이에 따른 손실이 적고 전송 지연이 적게 되어 탑재 기기의 보수가 가능하여 새로운 전파 이용 시스템으로서의 실현 가능성이 조사/연구되고 있다."
"성층권 비행선, 成層圈飛行船, Stratellite",,"낮은 성층권에서 비행선을 띄워 무선 통신을 중계하는 비행선. 성층권 비행선(Stratellite)은 성층권(stratosphere)과 인공위성(satellite)의 합성어이다. 고도 20km 정도의 성층권에 띄운 비행선을 이용하는 시스템으로 지표에서의 거리가 가깝기 때문에 전파 강도가 약하더라고 통신할 수 있고 멀리까지 내다볼 수 있어 커버 지역이 넓고 큰 안테나가 필요한 인공위성의 단점을 보완할 수 있다. 이 시스템은 지상에 설치된 고정 무선 기기가 상공에 떠 있는 비행선에 신호를 보내고, 다시 지상의 지정된 구역에 신호가 되돌아 오는 구조로 되어 있다. 개념상 인공위성과 유사하지만 궤도상에 오르는 것이 아니라, 무인 비행선과 같이 성층권에 머무는 것이 특징이다."
"성형 빔 안테나, 成形-, shaped beam antenna",,"안테나 주 빔 전파의 공간적인 조사(照射) 강도, 또는 조사 범위의 형상을 의도적으로 성형한 안테나. 주 빔의 모양을 변화시키는 것은 레이더 등에 오래전부터 사용되어 왔으나, 위성 탑재용 안테나의 경우 전파 전파(電波傳播)의 공간적인 조사 강도 분포를 지구 형상에 맞춘 글로벌 빔이나, 전파의 주된 조사 범위를 지구상의 특정 지역의 형상에 맞춘 집중 빔을 형성함으로써 전파의 효율적 이용 또는 인접 지역에 대한 간섭을 경감할 목적으로 성형 빔 안테나가 사용된다."
"성형 저항기, 成形抵抗器, molded resistor",,"페놀계 수지, 알키드계 수지, 플루오르 수지 등으로 싸서 성형한 저항기."
"세 개 한 조, -個-組, triad",,1개의 전선에 연속해서 차례로 나가거나 3개의 전선에 동시에 나가는 3개의 비트 또는 3개의 펄스 그룹.
"세계 가전 전시회, 世界家電展示會, Consumer Electronics Show, CES",,"미국가전생산자협회(CEA : Consumer Electronic Association)가 주관하는 세계 가전 전시회. 1967년 뉴욕에서 처음 개최되었고 1995년부터는 매년 1월 미국 라스베이거스에서 개최되고 있다. 국제 유수 IT 기업들이 신기술 제품을 전시하고 수출 상담도 하며, IT 관련 유명 인사들의 기조 연설과 세미나가 개최되어 글로벌 IT 기업들의 최근 트렌드를 파악할 수 있다."
"세계경제포럼, 世界經濟-, World Economic Forum, WEF",,"저명한 기업인, 경제학자, 저널리스트, 정치인 등이 모여 세계경제에 대해 연구하고, 토론하는 국제민간회의. 1971년 독일 출신의 하버드대 경영학교수 클라우스 슈바브(Klaus Schwab)에 의해 설립되어 비영리재단 형태로 운영된다. 세계 공익을 위한 기업가 정신(Entrepreneurship in the golbal public interest)을 모토로하며, 본부는 제네바에 있다. WEF를 비롯하여 Regional summits, Country Forum, Industry Forum 등 각종 회의를 개최하며, 그중 매년 1월말에 스위스의 다보스(Davos)에서 개최되는 WEF(다보스 포럼이라고도 부름)가 가장 유명하다. URL : www.weforum.org"
"세계 네트워크 혁신 환경, 世界-革新環境, Global Environment for Network Innovations, GENI",,"미국이 추진 중인 미래 인터넷의 선도 시험용 인프라 명칭. 국가과학재단(NSF)이 중심이 되어 학계, 연구소, 산업체뿐만 아니라 세계 각국의 기관을 참여시켜 현재의 인터넷을 능가하는 혁신적인 인터넷 구조를 제시하고, 연구, 개발된 기술은 시험 인프라를 이용한 검증을 거쳐 실제 네트워크에 도입하는 것이 목표다."
"세계도시 전자정부 협의체, 世界都市電子政府協議體, World e-Government Organization of Cities and Local Governments, WeGO",,"서울시가 주도하여 설립한 세계 도시 간 전자 정부 교류 협력체. 전자 정부를 만들어 도시 발전을 꾀하고, 디지털 역량 강화로 행정 능률과 투명성을 높여 세계 도시의 정보 격차를 해소하고자 만들어진 국제 협의체이다. 2011년 현재 전 세계 50여 개 도시가 회원으로 가입되어 있다. http://www.we-gov.org/"
"세계 무선 통신 주관청 회의, 世界無線通信主管廳會議, World Administrative Radio Conference, WARC",,"1982년 나이로비 국제 전기 통신 협약에 따라 전권 위원 회의 다음으로 중요한 국제 전기 통신 연합(ITU)의 의사 결정 기관은 주관청 회의였는데, 주관청 회의는 세계 주관청 회의(world administrative conference)와 지역 주관청 회의(regional administrative conference)로 구성되고, 부문별로 무선 통신 주관청 회의와 전신 전화 주관청 회의로 구성되었다. 세계 무선 통신 주관청 회의(WARC)는 전파 규칙(RR)의 개정을 포함하는 전파 통신에 관한 범세계적인 중요한 사항을 심의/의결하고, 국제 무선 통신 자문 위원회(CCIR)에 연구 과제를 부여하며 국제 주파수 등록 위원회(IFRB)와 사무국 등 ITU의 모든 상설 기관에 대한 지시 사항 또는 요청 사항을 결정하는 권한이 있었다. 이 회의는 필요에 따라 소집되었으며 각국의 주관청 대표들이 주로 참석하였다. ITU 조직을 전면 개편한 1992년 제네바 ITU 헌장 및 협약에 따라 폐지되었고, 통상 2년마다 개최되는 세계 전파 통신 회의(WRC)가 그 권한과 기능을 계승하였다."
"세계 반도체 시장 통계 기관, 世界半導體市場統計機關, World Semiconductor Trade Statistics, WSTS",,세계의 주요 반도체 제조업체 60여 개사가 참가하고 있는 세계 반도체 시장 데이터의 통계 기관.
"세계방송연맹, 世界放送聯盟, World Broadcasting Union, WBU",,"전 세계 방송 네트워크를 대표하고 방송관련 주요 이슈에 대해 글로벌 차원의 해결책을 제시하는 방송 관련 기구들의 연합체. 1992년에 설립되었으며, 회원은 아시아 태평양 방송연맹(ABU), 유럽방송연맹 (EBU), 아랍방송연맹(ASBU), 아프리카방송연맹(AUB), 캐리비안 방송연맹(CBU), 국제방송연합(IAB), 북미방송협회(NABA) 등이 있다."
"세계시, 世界時, Universal Time, UT",,"경도 0°인 자오선상에서의 평균 태양시이며, 지구 자전을 기준으로 한 시간계. 세계시(UT) 0시는 한국 표준시(KST)의 9시다. 보통은 단순히 UT라 부르는데, 10분의 수 초의 정밀도를 필요로 하는 경우에는 UT를 UT0, UT1, UT2의 3종류로 구별하여 지정하는 것이 필요하다. UT0은 직접 천문 관측으로 얻어진 평균 태양 시간이고, UT1은 지구의 자전축(극 변화)과 관계가 있는 지구의 미세한 움직임의 효과에 대해서 수정을 가한 UT0이다. UT2는 지구 자전 속도의 계절별 작은 변동의 효과에 대해서 수정을 가한 UT1이다."
"세계 위성 항법 시스템, 世界衛星航法-, Global Navigation Satellite System, GNSS",동의어 : 글로벌 항법 위성 시스템,"인공위성을 이용하여 위치를 파악하는 항법 시스템. 위성에서 발신된 전파를 수신기에서 수신하여 위성과 수신기 간의 거리를 구하여 수신기의 위치를 결정한다. GNSS는 미국의 GPS와 러시아의 글로나스(GLONASS), 그리고 유럽의 갈릴레오(Galileo)와 중국의 Compass(북두) 등 모든 위성 항법 시스템을 통칭한다."
"세계이동통신사업자협회, 世界移動通信事業者協會, Global System for Mobile Communications Association, GSMA",,"전 세계 이동통신 사업자 및 이동통신 제조 공급 업체들의 모임. 이동광대역 주파수, 이동 NFC, 기술 프로젝트, 단체, 개발 펀드, 인터넷 공공 정책, 행사 및 시상식, 회원 가입 정보 등을 제공한다. 1987년 결성되었으며 219개국 800여 이동통신사업자와 200여 이동통신 제조 업체들이 참여하고 있다. www.gsma.com"
"세계적 위성 시스템, 世界的衛星-, global satellite system",,"인텔샛 위성 시스템과 같이 전 세계를 연결하는 위성 시스템. 인텔샛 시스템에 뒤이어 일부 지역 내 국가 간의 국제 통신 위성 시스템과 국내 위성 시스템이 출현함에 따라 이들과 구별하는 의미에서 이렇게 부르게 되었다. 공중 통신 또는 상업 통신 부문에서 현재 운용 중인 세계적 위성 시스템은 인텔샛을 비롯해서 인마샛 시스템과 지구 대기 개발 계획(GARP)에 의하여 전 세계적으로 기상 관측을 하는 기상 위성 시스템이 있으며, 최근에 휴대 통신용으로 저궤도 위성과 중궤도 위성이 전 세계를 연결하고 있다."
"세계 전기 통신 개발 회의, 世界電氣通信開發會議, World Telecommunication Development Conference, WTDC",,"국제 전기 통신 연합(ITU)의 조직을 전면 개편한 1992년 ITU 헌장 및 협약에 따라 신설된 상설 기관인 전기 통신 개발 부문(ITU-T:ITU Telecommunication Development Sector)에서 의사를 결정하기 위한 회의. 범세계적인 전기 통신의 균형 있는 발전, 특히 개발도상국의 전기 통신 시설과 서비스의 확장 및 현대화를 위한 광범위한 주제, 대책 및 사업 계획을 토의하고 개발 업무를 총괄하는 전기 통신 개발국과 기타 ITU 상설 기관에 대한 건의와 지침을 마련하기 위한 회의이다. 통상 4년마다 개최되는 이 회의는 전기 통신 개발 연구반(telecommunication development study groups)을 설치하여 특히 개발도상국의 전기 통신 발전 및 현대화와 관련된 다양한 연구 과제를 부여하고 그 연구 결과를 ITU 개발 분야의 업무 추진과 사업 계획에 반영하게 한다."
"세계 전기 통신 표준화 회의, 世界電氣通信標準化會議, World Telecommunication Standardization Assembly, WTSA",,"국제 전기 통신 연합(ITU)의 조직을 전면 개편한 1992년 제네바 ITU 헌장 및 협약에 따라 신설된 상설 기관인 전기 통신 표준화 부문(ITU-T)에서 ITU의 최고 의결 기관인 전권 위원 회의, 국제 전기 통신 세계 회의 등 상위 회의에서 지시하거나 부여한 연구 과제와 이 회의 자체가 채택하는 연구 과제에 대한 연구 계획을 수립, 연구 위원회를 구성하고 그 결과를 심의하여 권고로서 공표하기 위해 개최하는 회의. 즉 전기 통신의 기술, 운용 및 요금 문제를 연구하고 범세계적으로 전기 통신을 표준화하기 위하여 권고하는 것을 주 임무로 한다. 종전의 국제 전신 전화 자문 위원회 총회(CCITT Plenary Assembly)의 기능을 계승한 것으로, 통상 4년마다 개최되며, 전기 통신 표준화 연구반(telecommu-nication standardization study groups)을 설치하여 연구 과제를 부여하고 연구 결과를 권고로서 공표한다. 이 회의와 연구반을 포함하는 ITU 표준화 부문의 모든 활동에는 회원국 주관청과 인정하는 사기업체(RPOA)가 회원으로 참여한다."
"세계 전신 전화 주관청 회의, 世界電信電話主管廳會議, World Administrative Telegraph and Telephone Conference, WATTC",,"1982년 나이로비 국제 전기 통신 협약에 따라 전권 위원회 다음으로 중요한 국제 전기 통신 연합(ITU)의 의사 결정 기관은 주관청 회의였는데, 주관청 회의는 세계 주관청 회의(world administrative conference)와 지역 주관청 회의(regional administrative conference)로 구성되고, 부문별로 전신 전화 주관청 회의와 무선 통신 주관청 회의로 구성되었다. 세계 전신 전화 주관청 회의(WATTC)는 국제 전기 통신 규칙(ITR)의 개정을 포함한 범세계적인 중요 사항을 심의/의결하고, 국제 전신 전화 자문 위원회(CCITT)에 연구 과제를 부여하며 사무국을 포함한 ITU의 모든 상설 기관에 대한 지시 사항과 요청 사항을 결정하는 권한이 있었다. 이 회의는 필요에 따라 소집되었으며 회원국의 주관청 대표들이 참석하였다. ITU 조직을 전면 개편한 1992년 제네바 국제 전기 통신 헌장 및 협약에 따라 폐지되었고, 필요에 따라 소집되는 국제 통신 세계 회의(WCIT)가 그 권한과 기능을 계승하였다."
"세계 전자 디지털 교환, 世界電子-交換, Electronic Worldwide Switch Digital, EWSD",,"지멘스사가 개발한 세계적인 전화 교환 시스템. 첨단 지능망(AIN: Advanced Intelligent Network) 기능으로 이용자 측에서 새로운 장비를 사지 않고도 새로운 서비스를 제공할 수 있고, ISDN, SS7, 센트릭스(Centrex), 디지털 및 아날로그, 자동 호 분산, 벨코어 AIN, GSM 등의 통신 기능을 가진 멀티 서비스 교환기이다."
"세계 전자상거래 기본 구상, 世界電子商去來基本構想, framework for global electronic commerce",,"인터넷에 의한 국제 상거래를 활성화하기 위해 미국 정부가 발표한 기본 구상. 주요 내용은 인터넷 구축은 민간이 선도하며, 인터넷 상거래와 관련된 정부의 규제를 최소화하고, 인터넷 상거래에 따른 일체의 세금을 없앤다는 것이다．"
"세계 전파 통신 회의, 世界電波通信會議, World Radiocommunication Conference, WRC",,"국제 전기 통신 연합(ITU)의 조직을 전편 개편한 1992년 제네바 헌장 및 협약에 따라 신설된 의사 결정 기관의 하나로서 전파 규칙(RR)을 개정할 권한을 갖는 회의. 종전의 세계 무선 통신 주관청 회의(WARC)의 권한과 기능을 계승한 것이다. 종전에는 필요에 따라 개최되었으나 신헌장하에서는 통상 2년마다 정례적으로 개최되는 이 회의는 RR의 부분적 또는 전면적 개정을 포함하여 전파 통신에 관한 세계적 문제를 다룬다. ITU의 전파 통신 부문에서 주관하는 전파 통신 총회에 부여하는 연구 과제, 신설된 전파 관리 위원회와 전파 통신국에 대한 지시 사항, ITU 사무국 및 기타 상설 기관에 대한 지시 사항 또는 요청 등이 의제에 포함된다."
"세계 전파 표준화 회의, 世界電波標準化會議, RAdio STandardization, RAST",,"세계 전파통신 표준화의 기본방향, 추진전략, 국제간 협력방안 등을 논의하는 국제 회의. TTA, ARIB, T1, TSACC, ACIF, ITU-R, ETSI, TIA 등 표준화 기구들이 중심이 되어 각국의 표준화 활동 상황을 논의하고, 상호협력하여 범 세계적인 표준화활동을 이끌어 가고 있다. 회의는 통상적으로 GSC와 연계하여 개최되는데 각 참여 표준화기구가 순번을 정하여 교대로 자국에서 회의를 개최하며, 1994년을 시작으로 우리나라는 1996년 9월에 제3차 GSC 및 제4차 RAST 회의를 경주에서 개최한 바 있다."
"세계 정보 기반 구조, 世界情報基盤構造, Global Information Infrastructure, GII",,"미국 행정부가 1993년 9월에 발표한 국가 정보 기반 구조(NII) 구상을 전 세계적으로 확대하여 고속·광대역 정보 통신망의 구축과 각종 정보 기반의 정비를 통하여 국제적인 고도 정보화를 실현하기 위한 구상. 미국의 앨버트 고어 부통령이 1994년 3월 부에노스아이레스에서 개최된 국제 전기 통신 연합(ITU)의 제1회 세계 전기 통신 개발 회의에서 제창하였다. 이 제안에 따라 선진 7개국(G7)은 1995년 1월 정보화 사회에 관한 각료 회의를 개최하여 몇 개 항의 기본 원칙과 과제를 채택하였다. 기본 원칙에는 미국이 제안한 각국의 규제 완화와 경쟁 도입 등의 원칙과 개발도상국에 대한 고려 사항이 포함되어 있다. 해결해야 할 제도적·기술적 과제로는 상호 접속성과 상호 운용성의 보장, 개인 비밀의 보호, 통신 및 정보의 보안, 지적 재산권(IPR)의 보호 등이 포함되어 있다. →국가 정보 기반 구조."
"세계 정보망, 世界情報網, Global Area Network, GAN",,"본사 내를 대상으로 한 구내 정보 통신망(LAN)에 대하여 세계 각지의 거점을 포함한 정보 통신망의 개념. 본사와 지방의 지사, 해외 지점 등 광역의 정보 통신망을 말한다."
"세계 정보 서비스 산업 기구, 世界情報-産業機構, World Information Technology and Service Alliance, WITSA",,"세계 각국의 정보 기술/정보 처리 서비스업계 단체가 참가하는 연대 기구. 격년제로 세계 정보 처리 산업 회의(WCSIC)를 개최하고 있다. 1987년에 미국의 정보 처리 서비스업체의 연합체인 ADAPSO(1991년에 ITAA로 개명)의 제안으로 결성된 WCSIF가 그 전신인데, 1994년에 현재의 명칭으로 바꾸었다. 한국에서는 한국 정보 산업 연합회(FKII)가 참가하고 있다. 1996년 현재 한국을 포함하여 22개국이 참가하고 있으며 주요 참가국은 미국, 영국, 프랑스, 독일, 일본, 이탈리아, 오스트레일리아 등이다."
"세계 정보 처리 산업 회의, 世界情報處理産業會議, World Computing Services Industry Congress, WCSIC",,"세계 정보 서비스 산업 기구(WITSA)가 격년제로 개최하는 이 기구의 총회. 1978년 스페인 바르셀로나에서 제1회 회의를 개최한 이래 제10회 회의를 다시 스페인에서 1996년 개최하였으며, 1998년 회의는 미국 버지니아에서 개최하였다."
"세계 좌표, 世界座標, world coordinate",,"컴퓨터 그래픽스(CG)에서 응용 프로그램 중에 도형 요소의 위치를 지정하는 데 사용되는 좌표로 장치와는 관계가 없는, 즉 장치 독립적인 데카르트 좌표로 표현되는 좌표. →데카르트 좌표."
"세계 지식 재산 기구, 世界知識財産機構, World Intellectual Property Organization, WIPO",,"국제 연합(UN) 전문 기관의 하나로, 특허권 등 산업 재산권의 국제 조약인 파리 협약과 저작권의 2대 조약의 하나인 베른 협약의 사무국을 겸하고, 무체 재산(無體財産)의 중심이 되는 지적 재산권에 관한 국제 조약의 제정을 추진하는 기구. 한국은 1973년부터 참관자로 참석, 1979년에 정식으로 가입하였다. 1996년 12월에는 이른바 인터넷 저작권이라고 불리는 저작권 조약 개정안을 채택하여 각국의 비준/가입을 요구한 바 있다. 이 새로운 조약은 인터넷 등 컴퓨터 통신망을 이용하여 공중에게 송신되는 저작물에 대한 저작권의 보호를 강화하기 위한 것이다. 저작권법의 2대 조약의 다른 하나인 만국 저작권 조약(Universal Copyright Convention)의 사무국은 세계 지적 재산권 기구(WIPO)와는 별도의 전문 기관인 국제 연합 교육 과학 문화 기구(UNESCO)이다. WIPO와 UNESCO는 합동 위원회 등을 구성하여 컴퓨터 소프트웨어의 저작권 문제에 관하여 협력하고 있다. WIPO의 본부는 제네바에 있다."
"세계 표준 협력 회의, 世界標準協力會議, Global Standards Collaboration, GSC",,"국가 간 표준화가 아닌 범세계적 표준화를 위해 표준화 활동을 주도하고 있는 국가 단위의 단체 표준화 기구들만 모여서 능률적인 표준화 방안을 토의하고 협력하는 회의. 이 회의는 ITSC라는 이름으로 1990년에 처음 시작하여 약 18개월마다 참여 표준 기구(PSO:Participating Standards Organization)들이 순차적으로 개최하고 있는데 그 PSO는 T1(미국), ETSI(유럽), TTC(일본), TSACC(캐나다), ATSC(오스트레일리아), TTA (한국) 등이고, 참관 단체는 ITU-T, ISO/IEC JTC1, ISOC, TIA, ARIB 등이다."
"세계 항행 경보 시스템, 世界航行警報-, World-Wide Navigational Warning Service system, WWNWS",,"세계의 해역에서 세계 항행 경보 업무 구역(NAVAREA: NAVigational AREA) 내의 기상, 해상 정보나 항행 경보를 방송하기 위하여 국제 해사 기구(IMO) 및 국제 수로국(IHO: International Hydrographic Organization)이 설치한 시스템. 이 시스템의 기본 계획에 따라서 연안 해역 및 원양 해역별로 항행 경보 업무를 수행한다."
"세계 해상 조난 안전 제도, 世界海上遭難安全制度, Global Maritime Distress And Safety System, GMDSS",,"국제 해사 기구(IMO)가 주창하여 1992년 2월부터 도입된 새로운 해상 조난 안전 시스템. 현재의 조난 안전 통신은 해상 인명 안전에 관한 조약(1974년 SOLAS 조약), 국제 전기 통신 연합(ITU) 조약 및 전파 규칙(RR)에 의해 세계적 제도로서 확보되어 있다. 그러나 통신 수단인 무선 전신과 무선 전화는 통달 거리의 제한 등 취약점이 많기 때문에, 위성 통신과 디지털 통신 기술을 이용하여 전 세계적이고 종합적인 통신 시스템을 구축하여 선박이 세계의 어느 해역을 항해하든지 육상의 수색 구조 기관이나 부근의 다른 선박과 조난 통신을 할 수 있게 하는 시스템이다."
"세구에, segue",,하나의 음악이나 효과음이 다른 음악이나 효과음으로 서서히 바뀌는 오디오의 테크닉.
"세균 로봇, 細菌-, Bacterium Robot",,"살아 있는 세균을 동력으로 움직이는 초미세 마이크로 로봇. 특정한 화학 물질이나 빛, 자기장을 따라가는 박테리아의 특성을 이용했다. 수만 마리의 박테리아가 미는 힘으로 몸속에서 시간당 5㎜씩 이동할 수 있다. 세균 로봇을 이용하여 암을 치료할 경우, 눈에 보이지 않을 정도로 크기가 작아 각종 장기를 쉽게 뚫고 들어가 암세포만 찾아 제거한다."
"세그먼트, segment",,"①서로 구분되는 기억 장치의 연속된 한 영역. ②어떤 프로그램이 너무 커서 한 번에 주기억 장치에 올라올 수 없어 갈아넣기 기법을 사용하여 쪼개었을 때, 나뉜 각 부분을 가리키는 말. ③세그먼테이션 방식의 가상 기억 장치에서 사용되는 것으로, 페이징에서 페이지와 비슷하나 길이가 가변이고 기억 장치의 어느 곳에도 자리할 수 있는 기억 장소 영역을 가리키는 말. 한 세그먼트는 프로그램의 논리적인 한 구성 단위를 저장한다. ④계층 모형의 데이터베이스에서 여러 항목이 모여 레코드에 해당하는 단위."
"세그먼트 기억 장치, -記憶裝置, segmented memory",,"주기억 장소를 사용자 관점의 논리적인 기억 장소와 실제 물리적인 기억 장소로 구분하여, 논리적인 기억 장소에서 서로 이름으로 구분되는 모듈이나 자료 구조 단위로 실제 물리적인 기억 장소에 연관시키는 기억 장치 관리 기법."
