외식상품 관여도 수준에 따른 스마트폰 외식정보 서비스품질이 사용자 만족 및 충성도에 미치는 영향에 관한 연구,"김용일(Yong Il Kim),유창근(Chang Keun Yoo),임재문(Jae Mun Lim)",한국호텔외식관광경영학회,호텔경영학연구,"Vol.22No.6[2013]
",2013,Korean,"스마트폰,외식정보 서비스,서비스 품질,사용자 만족,충성도,Smart Phone,Food Service Information,Service Quality,User Satisfaction,Loyalty",,KCI등재,"학술저널
",http://www.kasha.or.kr,19-35,21.0,,, DBpia,,"본 연구에서는 스마트폰을 활용한 외식정보 서비스품질에 따른 사용자 만족이 충성도에 미치는 영향을 다중회귀분석을 통해 알아보고 또한 외식상품 관여도에 따른 스마트폰 외식정보 서비스품질과 사용자 만족 간의 조절효과를 파악하는데 그 목적이 있다. 설문은 2012년 6월 1일부터 2012년 8월 31일까지 2달간에 걸쳐 조사를 실시하였다. 표본은 총 326부의 설문지를 회수하여 연구목적과 부합되지 않거나 설문태도가 불성실한 71부를 제외한 255부를 실증분석에 활용하였다. 본 연구의 결과는 다음과 같다. 첫째, 스마트폰을 활용한 외식정보 서비스품질을 차원화한 결과 정보품질, 유비쿼터스 접속성, 효율성, 공감성, 반응성, 기능성, 이렇게 6개 차원으로 나타났다. 둘째, 스마트폰 외식정보 서비스 품질 요인 중 정보품질이 사용자 만족에 가장 큰 영향을 미쳤으며 그 다음 효율성, 반응성, 공감성 등의 순으로 사용자 만족에 유의한 정(+)의 영향을 미쳤다. 셋째, 스마트폰 외식정보 서비스 사용자의 만족은 충성도에 유의한 정(+)의 영향을 미치는 것으로 나타났다. 마지막으로, 외식상품 관여도는 스마트폰 외식정보 서비스품질 요인 중 공감성과 사용자 만족 간 관련성에서 대립조절효과가 입증되었다.","The Purpose of this study was to identify the effects service quality of food service information on smart phone has on users` satisfaction and loyalty. This study also examined the moderating effect of food product involvement on the relationship between service quality of food service information on smart phone and users` satisfaction. A survey was conducted from June 1 to August 31, 2012. A total of 326 questionnaires were collected and 255 questionnaires were used for data analyses. The results of this study are as follows: First, it was found that factors of food information service quality on smart phone are information quality, efficiency, functionality, responsiveness, empathy, and ubiquitous accessibility. Second, information quality, efficiency, responsiveness, and empathy factors had positive significant effects on users` satisfaction. Particularly, information quality had the most significant impact on users` satisfaction, followed by efficiency, empathy, and responsiveness. Third, it was found that the users` satisfaction had a statistically positive effect on their loyalty. Finally, the food product involvement found to have the moderating effect on the relationship between empathy and users` satisfaction.",
"스마트 모빌리티를 이용한 FMM과 LMM 서비스 권역의 정의에 관한 연구: 부산광역시 해운대구를 중심으로 = Study on defining FMM and LMM service area using smart mobility in Haeundae-gu, Busan","김민정,김호용,김회경",대한교통학회,大韓交通學會誌(Journal of Korean Society of Transportation),"Vol.37No.3[2019]
",2019,Korean,"전기자전거,전동킥보드,출발 접근 서비스(First-mile mobility,FMM),도착 접근 서비스(Last-mile mobility,LMM),MaaS,공공자전거,스마트 모빌리티,electric bicycle,electric scooter,first-mile mobility (FMM),last-mile mobility (LMM),mobility as a service (MaaS),public bicycle,smart mobility",,KCI우수등재,"학술저널
",http://kor-kst.or.kr,245-253,2.0,,, DBpia,영남대학교 중앙도서관,"최근 교통선진국을 중심으로 MaaS (mobility as a service)라는 공유교통을 기반으로 한 새로운 교통패러다임이 시도되고 있다. MaaS의 초기형태는 통행의 기종점과 대중교통 결절점을 연계하는 출발 접근(First-mile mobility, FMM)과 도착 접근(Last-mile mobility, LMM) 서비스로써 공공자전거, 전기자전거, 전동킥보드와 같은 스마트 모빌리티들이 그 수단으로 활용되고 있다. 스마트 모빌리티를 이용한 서비스는 거치대에 의존하지 않는 비고정형 거치대(dockless) 서비스를 지향하고 있지만 서비스 사업자들은 서비스 권역의 정의방식을 공개하지 않고 있다. 본 연구에서는 대상지역의 구배와 스마트 모빌리티 수단의 최대 등판능력을 비교하고 대상지역과 도로 네트워크 및 기존 서비스 권역과의 관계를 통해 공공의 편익이 최대가 되는 새로운 출발 접근(FMM)과 도착 접근(LMM) 서비스 권역을 정의하는 방식을 제안한다. 부산광역시 해운대구에 이 방식을 적용한 결과, 해운대구 인구의 94.6%가 스마트 모빌리티를 이용하여 대중교통 결절점까지 이동할 수 있으며 해운대구 382개의 관광관련 지점을 서비스할 수 있는 것으로 나타났다.","Recently, a new transportation paradigm based on the shared traffic called MaaS (mobility as a service) has been attempted, especially in leading countries. The initial forms of MaaS are first-mile mobility (FMM) and last-mile mobility (LMM) services that link trip O/Ds and transit nodes with smart mobility such as public bikes, electric bikes and electric scooters. FMM and LMM services using smart mobility are aimed at dockless systems that do not rely on cradles, but service providers do not disclose how to define service areas. This study suggests a methodology to define FMM and LMM service area in a way to maximize the public benefit by comparing the gradient of the target area with the maximum gradability of the smart mobility and taking into account the relationship between the target area and the road network and the existing service area. As a result of applying this method to Haeundae-gu in Busan, smart mobility can serve 94.6% of the Haeundae-gu population to transit nodes and connect 382 tourism-related points.",
스마트시티의 성공적 구현을 위한 AHP기반의 의사결정 모델 및 사례 분석,"김근형,변영철,김성백",한국경영학회,한국경영학회 통합학술발표논문집,"Vol.2020No.8[2020]
",2020,Korean,"스마트시티,의사결정모델,AHP분석,우선순위,추진과제,추진방법,제주",,,"학술저널
",,366-383,,,, DBpia,,"스마트시티는 많은 사회문제를 내포한 도시의 지속가능성을 확보하고 도시민의 삶을 질적으로 향상시키고자 하는 목적을 갖는다. 그러나 스마트시티를 구현하기 위한 추진과제들과 방법들은 각 도시의 상황에 따라 달라질 수 있다. 스마트시티 프로젝트의 각 추진과제들의 우선순위와 적합한 추진방법들을 결정할 수 있다면 스마트시티 구현의 성공 가능성을 높일 수 있다.
본 논문에서는 스마트시티 프로젝트에 포함될 수 있는 각 추진과제들의 우선순위와 각 과제별 적합한 추진방법들을 파악할 수 있는 AHP 분석 기반의 의사결정모델을 제안하였다. 제안한 의사결정모델은 스마트시티 구현을 위한 내용적 요소들과 방법적 요소들 사이의 상대적 중요도를 정량적으로 계측할 수 있도록 한다. 제안한 의사결정모델은 3 계층으로 이루어진다. 1계층은 추진영역 요소들을 포함하고 2계층은 추진과제 요소들을 포함하며 3계층은 각 추진과제별 추진방법 요소들을 포함한다. 제주 스마트시티를 위한 의사결정모델 적용 사례로서, 1계층에 포함된 추진영역들로는 관광, 주민생활, 산업을 도출하였다. 2계층에 포함된 추진과제들로는 전기자동차 확산, 에너지개발, MaaS, 안전, 쓰레기. 빅데이터 플래폼, 블록체인특구를 도출하였다. 각 추진과제에 대한 추진방법들로는 관 주도, 민간기업주도, 조인업, 리빙랩을 도출하였다. 제안한 의사결정모델은 각 도시의 상황에 맞게 커스커마이징하여 활용할 수 있다.",,"Abstract
1. 서론
2. 스마트시티 개요
3. 스마트시티의 국내·외 사례
4. 스마트시티 관련 연구동향
5. 스마트시티 의사결정 모델
6. 결론
참고문헌
"
평창동계올림픽 스마트콘텐츠 구현전략,원달수,국제문화기술진흥원,The Journal of the Convergence on Culture Technology (JCCT),"Vol.2No.4[2016]
",2016,Korean," 평창올림픽, 스마트컨텐츠, 산업분류, 가상증강현실기술, 감성인지, 사용자경험, 감성컨텐츠, PyeongChang Winter Olympics, Smart Contents, Industry Group, Virtual Reality, Augmented Reality, Affective Recognition, User Experience, Affective Contents",,,"학술저널
",,41-44,1.0,,," NDSL, &nbsp;&nbsp; eArticle",,"올림픽을 개최하는 국가들은 전 세계적인 일치화합에 기여하는 한편 해당국가의 역량을 알리고 경제적 발전 특히 스 포츠, 문화, 관광 산업의 도약을 위한 획기적인 변환의 기회로 삼기를 바라고 있다. 이를 위해 해당 국가들은 세계인들에게 잘 알려져 있거나 관심을 가질 수 있는 자기 나라의 역사, 문화, 자연, 생태, 소통교제, 스포츠, 이벤트 등의 요소들을 활용하여 글로벌 관광객을 유치하는 전략에 치중해 왔다. 이와 함께 2000년대 들어 ICT기술과 통신인프라의 비약적 발전, 모바일기기 확산, 콘텐츠 산업 확대 등의 엄청난 변화로 인해 올림픽 개최 환경도 획기적인 변화요구를 받고 있으며, 그 강도는 점점 더 높아지고 있는 현실이다. 반면 스마트콘텐츠 시장은 최근 몇 년 전부터 급격히 확대되고 있는데, 올림픽은 제한된 기간과 개최 국의 특성(문화적, ICT수준 등)에 따라 큰 차이를 보이고 있어, 과거 올림픽에서는 이의 활용이 미흡하였으나 2018년 한국에 서 개최되는 평창동계올림픽부터 동경, 북경 올림픽 등으로 연결되면서 전세계적으로 스마트콘텐츠 활성화의 특별한 기회가 도래할 것으로 예측되고 있다.이에 한국의 ICT산업의 기술경쟁력을 활용하여 올림픽에 활용할 수 있도록 하기 위해 본 연구에 서는 스마트콘텐츠의 활용방안을 제언한다.","Though expandeding rapidly in recent years in smart content market, it has been limited utiliztion of smart contents due to limitations of duration and characteristics in the host country. In the past two Olympics, it tried but is lack of leverage. In this study, we suggest the utilization of smart contents of Pyeong Chang Olympic Winter Games held in South Korea in 2018. It is expected to be a unique opportunity enabled the advent of smart content worldwide coupled with Tokyo, Beijing Olympics.","요약
 Abstract
 I. 서론
 II. 스마트컨텐츠 중점기술
 III. 평창동계올림픽 도입방안
  3.1 추진단계별 스마트콘텐츠 역할
  3.2 스마트콘텐츠 구현 전략
 IV. 결론
 References"
LBS를 활용한 문화유산 체험학습 스마트폰 APP = Cultural Heritage Experiential Learning Smart-Phone APP Using LBS,"김용호,김형균",한국디지털정책학회,디지털융복합연구(Journal of Digital Convergence),"Vol.11No.12[2013]
",2013,Korean,"위치기반서비스,문화유산,체험학습,스마트폰APP,GPS,Location Based Service(LBS),Cultural Heritage,Experiential Learning,Smart-Phone APP,GPS",326.41,KCI등재,"학술저널
",http://www.policy.or.kr,821-828,2.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; eArticle",,"본 논문에서 제안한 문화유산 체험학습에 최적화된 스마트폰 APP인 CHELS-App은 단순한 관광지안내 서 비스를 벗어나 스마트폰을 활용하여 문화유산을 체험하고 제시되는 퀘스트를 통하여 미션을 즐기면서 학습과 관광을 동시에 체험할 수 있도록 구성하였다. CHELS-App은 세계문화유산으로 지정되어 있는 종묘를 대상으로 위치기반 서 비스를 이용한 안내지도와 이벤트 푸쉬기능을 이용한 현장에서의 다양한 문화해설(해설, 사진, 퀴즈, 게임, 카툰)을 제공하고 이러한 체험을 통한 발도장 기능, 체험일지 작성 기능을 구성하였다.",,"요약
 Abstract
 1. 서론
 2. 관련연구
  2.1 위치기반서비스(LBS)
  2.2 스마트폰 관광어플 개발현황
 3. CHELS-App의 기획 및 설계
  3.1 CHELS-App의 기획
  3.2 위치기반 체험 포인트 구성
  3.3 위치기반 체험학습 이벤트 구성
  3.4 위치기반 이벤트 PUSH 기능 설계
 4. 구현 및 검증
 5. 결론
 ACKNOWLEDGMENTS
 REFERENCES"
송화버섯재배 활성화에 관한 연구 - 스마트팜을 활용한 사례 -,"하창수,최미희",인공지능융합학회(구 한국블록체인산업학회),한국블록체인산업학회논문지,"Vol.1No.1[2020]
",2020,Korean,"컨테이너형 스마트팜, 식물 공장, 농업컨텐츠, 소자본 영농 창업, 6차산업, 치유 농업,Container-type smart farm, Plant factory, Agricultural content small-capital  farming startup, Sixth industry, Healing agriculture",,,"학술저널
",,17-24,,,, eArticle,,"이 논문은 이상기후에 따른 농작물의 안정적 생산과 고품질 작물 생산이라는 미래농업 해결 과제에 대안을 제시한다. 그 대안으로서 컨테이너형 스마트팜 연구시설을 제작하여 2년 동안 버섯시험재배를 진행했다. 온도, 습도, 이산화탄소, 빛과 같은 버섯 환경의 필수 조건에 맞추어 재배를 수행하 였다. 스마트팜은 소자본 영농창업의 성공모델로 활용(은퇴 후 귀농인 또는 청년창농인 대상으로 전문기술 없이도 안정적 수익 창출)가능하며 기존농업 인의 경우 고부가가치 작물의 최적재배로 고소득 달성이 가능하다. 또한, 적은 투자비용 또는 렌탈 서비스를 이용하여 레스토랑, 식자재사업 등에 필요 한 작물을 무농약 친환경적으로 재배할 수 있다. 중대형 식물공장을 설립하기 전 소비용 Test 모델로 컨테이너형 스마트팜을 활용함으로써, 운영에 대한 제공업체의 기술지원을 통해 실패비용 최소화, 사전경험을 통해 성공확률을 높일 수 있는 시스템으로도 활용가능하다. 컨테이너형 스마트팜은 전문적인 재배기술 숙련 없이도 재배관리가 용이해 사회 취약층 및 청년 고용 창출에 기여할 수 있는 1인 농업기술문화 보급형이다. 이러한 스마트팜의 장점을 버섯재배에 활용하는 실증연구를 수행하였다. 위 논문의 컨테이너형 스마트팜은 소규모 스마트팜으로 1인 농업기술 컨텐츠 문화 보급을 목적으 로 연구를 진행했으며, 6차 산업과 연계한 치유농업, 체험, 관광테마를 활용한 농업 컨텐츠 문화 보급을 추후 목적으로 하고 있다. 또한 은퇴한 장애인 귀농인을 대상으로 한 전문기술 없이 쉽게 재배 가능하며, 영농창업의 성공모델로 활성화하기 위하여 지속적인 연구 활동을 할 것이다.","This paper shows the beauty of stable production of crops and high-quality crop production following abnormal weather. An alternative is presented to the Rae-Farming Resolution task. As an alternative, research on containerized smart farm facility was produced and tested for mushrooms for two years. Temperature, humidity, carbon dioxide, light. The cultivation was carried out to meet the essential conditions of the same mushroom environment. The containerized smart farm is easy to grow without specialized cultivation skills. It is a type of one-person agricultural technology culture that can contribute to the creation of employment for the vulnerable and young people. This An empirical study was conducted to utilize the merits of a smart farm for mushroom cultivation. Smart Farm is used as a successful model for small-capital farming (retirement and return home farmers or youth windows). It can be used as a test model for consumption before establishing a medium and large plant, and as a system that can minimize failure cost through technical support from suppliers and increase the probability of success through prior experience. The containerized smart farm in the paper is a small smart farm with contents of one-person farming technology. The research was conducted for the purpose of cultural dissemination and the healing agriculture, experience, and related to the sixth industry. The purpose of the project is to promote the culture of agricultural contents using tourism themes. also silver too. Farming is easy to grow without specialized skills for the disabled farmers who have continued research activities will be carried out to promote as a success model for.","요약
ABSTRACT
1. 서론
	1.1 연구의 배경 및 필요성
	1.2 논문의 목적 및 논문 구성
2. 버섯산업 현황 분석
	2.1 버섯에 관한 이론적 검토
3. 스마트팜 버섯재배 기술
	3.1 스마트팜 개념
	3.2 스마트팜 시장동향
	3.3 버섯재배기술동향
4. 소규모 스마트팜 버섯재배 활성화 방안
	4.1 잠재시장규모 추정
	4.2 활성화 핵심 성공요인
	4.3 소규모 버섯재배 활성화를 위한 제언
5. 결론
참고문헌
"
증강현실 콘텐츠 산업기술의 스마트폰 환경 모바일 아트 활용 가능성 = Availability of Mobile Art in Smartphone Environment of Augmented Reality Content Industrial Technology,"김희영(Hee-Young Kim),신창옥(Chang-Ok Shin)",한국콘텐츠학회,한국콘텐츠학회논문지,"Vol.13No.5[2013]
",2013,Korean,"모바일 아트,스마트 폰,증강현실,모바일 콘텐츠 산업기술,인터랙션,유희성,Mobile Media Art,Smartphones,Augmented Reality(AR),Mobile Content Industry Technology,Interaction,Playfulness",,KCI등재,"학술저널
",http://www.koreacontents.or.kr,48-57,9.0,,," NDSL, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",,"스마트폰은 소통과 정보공유의 환경을 제공하는 동시에 모바일 기술과 모바일 아트 발전의 핵심적인 역할을 담당하고 있다. 특히 모바일 증강현실시대의 도래와 더불어 스마트폰 기술관련 연구는 박차를 더해가고 있으나, 증강현실콘텐츠 산업에 핵심적인 사용자 참여 유발에 대한 연구가 부족하여 이런 특징이 이미 발달한 모바일 아트 영역에서의 도움이 필수적이다. 따라서 본 연구는 국내에서 거의 연구되지 않았던 모바일 아트를 피처 폰 활용과 스마트폰 활용으로 분류하고 각각 가장 많이 사용된 세 가지 방식을 중심으로 작품 사례를 분석한다. 모바일 기기의 사운드와 이미지를 이용한 피처 폰 활용은 설치와 공연 방식, 싱글채널 비디오 아트 방식과 오감소통 방식으로 나눌 수 있다. 센서, 카메라, GPS와 증강현실을 이용한 스마트폰 활용은 위치기반 AR, 마커인식 AR과 무마커식 AR로 분류된다. 또한 모바일 증강현실 콘텐츠 산업별 활용기술을 살펴본 결과 관광과 게임관련은 위치기반 AR, 교육과 의료관련은 마커인식 AR, 쇼핑관련은 무마커식 AR 등을 중심으로 혼합방식으로 활용됨을 알 수 있었다. 증강현실 콘텐츠 산업의 발달은 사용자의 적극적인 참여를 통한 지속적인 소통방식과 혼합기술방식을 활용하는 모바일 아트의 참조로 더욱 가속화될 것
으로 예상된다. 향후 모바일 증강현실 산업기술의 발전 방향은 HMD(Head Mounted Display)의 소형화, 홀로그램기술과 인공지능의 접목을 예측하고 있으며 빅데이터와 소셜네트워크를 활용하여 증강현실의 기술적인 한계를 극복할 수 있을 것으로 기대된다.","Smartphones provide users with environment for communication and sharing information and at the same time play an important role of mobile technology and mobile art development. Smartphone technology-related researches are being accelerated especially with the advent of mobile Augmented Reality(AR) age, but the studies on user participation that is essential for AR content industry were insufficient. In that regard, the assistance from mobile art area that has already developed these characteristics is essential. Thus, this article is to classify mobile art that has not been studied a lot domestically into feature phone usage and smartphone usage and to analyze each example case with the three most used methods. The usage of feature phones which use the sound and images of mobile devices can be divided into three: installation and performing methods, single channel video art method and five senses communication method. On
the other hand, the usage of smartphones that use sensors, cameras, GPS and AR can be divided into location-based AR, marker-based AR and markerless AR. Also, as a result of examining mobile AR content utilization technology by industries, combined methods are utilized; tourism and game-related industries use location-based AR, education and medicine-related industries use marker-based AR, and shopping-related industries use markerless AR. The development of AR content industry is expected to be accelerated with mobile art that makes use of combined technology method and constant communication method through active participation of users. The future development direction of mobile AR industry is predicted to have minimized HMD, integration of hologram technology and artificial intelligence and make the most of big data and social network so that we could overcome the technological limitation of AR.","요약
Abstract
Ⅰ. 서론
Ⅱ. 개념정리
Ⅲ. 모바일 아트 분석
Ⅳ. 증강현실 콘텐츠 산업기술과 모바일 아트
Ⅴ. 결론
참고문헌
"
스마트 모바일 기기를 이용한 공공기관의 G4C에 관한 연구 = A Study on the G4C using smart mobile devices in public institutions,"정형철(Hyung Cheol Jung),강민철(Min Cheol Kang),김동주(Dong Ju Kim),임재옥(Jae Ok Lim)",이화여자대학교 이화사회과학원,사회과학연구논총(Ewha Journal of Social Sciences),"Vol.29No.2[2013]
",2013,Korean,"공공정보,모바일 디바이스,스마트폰,전자정부,e-government,G4C,mobile device,public sector information,smart phone",305.0,KCI등재,"학술저널
",,137-158,0.0,,," RISS, &nbsp;&nbsp; KCI, &nbsp;&nbsp; DBpia",이화여자대학교 중앙도서관,"본 연구에서는 스마트 모바일기기를 이용한 공공정보 활성화 방안 마련을 위하여 일반시민과 공무원을 대상으로 ‘스마트폰을 이용한 공공정보 제공에 대한 인식’, ‘주로 사용하는 모바일 공공정보 서비스’, ‘모바일 공공정보 서비스를 활성화하기 위한 방안’의 세 방향으로 설문조사를 실시하였다. 조사 결과, 스마트 모바일 공공정보 제공에 대해 전체 응답자의 67.8%가 긍정적으로 생각하고 있는 것으로 나타났다. 주로 활용하고 있는 공공정보의 대표적 유형은 ‘교통 및 운송정보’, ‘기상 및 환경정보’, ‘관광 및 여가 정보’ 순으로 조사되었다. 모바일 공공정보를 활성화시키기 위한 방안으로는 정부의 간섭을 최소화하고 모바일 인터넷과 SNS 등 새로운 기술을 수용하는 노력이 필요한 것으로 나타났다.","In this study, a survey was conducted with two groups of subjects, citizens and government officials, to make suggestions for the delivery of public information to smart-mobile devices. The survey consisted of three parts, which are the perceptions by citizens on receiving public information via smart phones, the types of public information accessed with mobile devices, and the vitalization of accessing public information via the mobile phone devices. Results showed that 67.8% of respondents think positively of public information been delivered to smart-mobile devices. Further, the results indicate that the types of public information accessed/utilized most are ‘traffic and transportation information,’ ‘weather and environment information,’ and ‘tour and leisure information’ in the same order of importance. According to the results, in order to activate mobile devices using public information, the efforts of adopting new technologies such as mobile internet and SNS need to be intensified while minimizing the interference of government are necessary.",
스마트요소들을 이용한 Smart Street 조성에 관한 연구,"김혜원(KIM, Hye Won),김명수(KIM, Myung Soo)",대한교통학회,대한교통학회 학술대회지,"Vol.79No.-[2018]
",2018,Korean,"ICT,Smart Street,Smart Traffic,Smart Safety",,,"학술저널
",,500-503,,,, DBpia,,"본 연구는 대전시 유성구 궁동, 봉명동을 대상으로 교통, 에너지, ICT, 생활복지, 친환경기술, 안전, 행정 등을 융복합 해 Smart Traffic, Smart Safety, Smart Media를 통한 스마트 스트리트 플랫폼을 형성하는데 목적이 있다. 대상지에서 발생하는 문제점들을 살피고 Clean, Commercial, Safe, Guide의 네 가지 주제를 설정하여 각각에 맞는 요소들을 설계하였다. 본 연구를 통해 상징적인 Smart Street를 통한 관광유치, 각종 요소들의 기능들로 인한 치안유지 및 사고율감소로 인한 안전한 도시 조성, 자전거 이용량 증대로 인한 탄소배출량 감소 및 주차장 안내로 인한 불법주차 감소 등으로 인한 쾌적한 도시 조성, 에너지절약 및 감소의 효과를 기대한다.",,"Abstract
Ⅰ. 서론
Ⅱ. 사례분석
Ⅲ. 적용방안
Ⅳ. 결론
참고문헌
"
스마트 미디어 시대의 불교기록문화유산 아카이브의 방향,이재수,대각사상연구원,大覺思想,"Vol.0No.18[2012]
",2012,Korean," 전자불전, 대장경, 스마트 미디어 시대, 불교기록문화유산, 아카이브, 디지털 아카이브, 불교기록문화유산 아카이브, Electronic Buddhist Texts, Tripitaka, Smart Media Era, Buddhist culture, Archives, Digital Archives, Archives of Buddhist Culture",,KCI등재,"학술저널
",,461-493,2.0,,," KCI, &nbsp;&nbsp; eArticle",,"본 논의는 현재 우리가 경험하고 있는 스마트 미디어 시대에 불교기록문화유산을 집성하고, 이를 다양한 부문에서 활용할 수 있는 디지털 아카이브의 바람직한 모델에 대해서 살펴보았다. 동국대학교 불교학술원은 문화체육관광부의 지원으로 불교기록문화유산 아카이브 구축 사업을 수행하고 있다. 이에 논자는 불교기록문화유산의 성격을 문화적 공공재로 규정하고자 한다. 불교가 사회와 역사와 소통한 결과는 공업(共業)적 성격으로 불교기록문화유산에 담겨있다. 또한 붓다의 메시지 그대로 많은 사람의 이익과 안락과 행복을 위해서 생산되었기 때문에, 대중의 이익과 안락과 행복을 목적으로 공유되고 개방되어 참여를 통해 활용되어야 할 것이다. 본 논의를 통해서 불교기록문화유산 아카이브의 모델을 국내 아카이브 사례에서 탄탄한 데이터베이스의 구축, 문화콘텐츠 연계형, 인문정보학의 모델, 문화생산의 구축이라는 복합적인 관점으로 검토해 보았다. 불교기록문화유산 아카이브 구축을 위한 장기적 과제를 첫째, 아카이브 2.0을 위한 정체성 확립의 필요성 둘째, 개방과 참여를 위한 이용자 참여를 위한 플랫폼 개발의 필요성 셋째, 스마트 미디어 기반의 맞춤형 개인화 서비스를 지향해야 한다는 점 등으로 제시하였다. 본 논의는 우리가 불교기록유산을 수집하고 보존하고, 이에 대한 가치를 사회화 하여 활용하기 위한 하나의 제언이 될 것이다. 또한 불교기록문화유산에 대한 가치를 사회적으로 소통하여 창조적 지식으로 생산하고 다양한 이용자들의 복합적인 활용이 가능한 아카이브를 구축하기 위한 노력에 이바지 하고자 한다.

","This discussion examined about desirable model of digital archives, which compiles Buddhist culture and can utilize this in diverse sections in the smart media era that we are now experiencing. The Academy of Buddhist Studies in Dongguk University is performing a project of implementing the archives of Buddhist culture with a support of the Ministry of Culture, Sports and Tourism. Accordingly, a debater aims to prescribe the character of Buddhist culture as the cultural property. The result that Buddhism communicated with society and history is contained in Buddhist culture as the shared-karma character. Also, just as Buddha's message is, it was produced for many people's benefit, comfort, and happiness, thereby likely needing to be utilized through participation by being shared and opened for the purpose of people's benefit, comfort and happiness. Through this discussion, it examined a model in the archives of Buddhist culture with the complex perspective dubbed the implementation of firm database, the connection type of cultural contents, a model in cultural informatics, and the implementation of cultural production in a case of domestic archives. As for the long-term tasks for implementing the archives of Buddhist culture, it suggested, first, the necessity of establishing identity for archive 2.0, second, the necessity of developing platform for user participation for opening and participation, and third, the necessity of pointing to the customized personalization service based on smart media. This discussion will be one suggestion in order for us to utilize by collecting and preserving Buddhist culture and socializing value on this. Also, the aim is to contribute to an effort for producing it as creative knowledge by socially communicating with the value on Buddhist culture and for implementing archives that can be utilized complexly by diverse users.

","한글요약
 Ⅰ. 서언
 Ⅱ. 스마트 미디어 시대
 Ⅲ. 기록에서 디지털 아카이브로
 Ⅳ. 국내 디지털 아카이브의 사례
 Ⅴ. 불교기록문화유산 아카이브의 과제
 Ⅵ. 결어
 참고문헌
 Abstract"
