"YMCK 색상 체계, -色相體系, Yellow-Magenta-Cyan-Black, YMCK",,전자 출판(DTP)을 포함하는 다양한 인쇄 시스템에서 사용되는 색 표시 모델의 하나. 황색(yellow)-적색(magenta)-청색(cyan)-흑색(black) 모델을 말한다. 컴퓨터 분야에서는 CMYK(cyan-magenta-yellow-black)라고도 부른다. 텔레비전이나 컴퓨터의 색은 RGB(적/녹/청) 모델로 표시되므로 DTP에서 인쇄 원고를 만들기 위해서 RGB를 YMCK로 변환하는 것이 필요하다.
"Y-모뎀, Y-MODEM",,X-모뎀 파일 전송 프로토콜 개량판의 하나. 성능 향상을 위하여 다음의 기능이 추가되거나 개선되었다. ㉠데이터를 1kB 크기의 블록 단위로 전송하는 능력. ㉡복수의 파일을 한 번에 전송하는(batch file transmission) 능력. ㉢주기적 덧붙임 검사(CRC)에 의한 전송 오류 검출 기능. ㉣2개의 CAN(cancel:취소) 문자를 연속 송신하여 데이터 전송을 중지시키는 능력.
"Y 신호, -信號, Y signal",,"NTSC 방식의 명도 신호. 텔레비전이나 비디오 시스템에서 화상의 명암을 나타내는 전기 신호를 휘도 신호(luminance signal)라고 하는데, 컬러 텔레비전이나 비디오 시스템에서는 전송 신호의 주파수 대역폭을 절감하기 위해 휘도 신호에 색 정보를 나타내는 신호를 중첩하여 전송한다. 이때 밝기 성분을 나타내는 신호를 Y 신호라고 하고, 색 정보를 나타내는 신호 성분을 C 신호(chrominance signal)라고 한다. 사람 눈의 색 감각은 빛의 파장, 즉 색에 따라 다르므로 비디오 카메라로 촬상한 3원색(RGB) 신호에서 Y 신호를 만들어 내려면 눈의 색 감각에 맞춘 비율로 3원색을 혼합해야 한다. Y 신호는 아르지비(RGB:적/녹/청)의 컬러 촬상관의 출력 신호 ER, EG, EB을 매트릭스 회로로 아래와 같은 비율로 혼합하여 얻어진다. 즉 Y 신호 Ey＝0.30ER＋0.59EG＋0.11EB가 된다. Y 신호는 흑백 텔레비전과 양립성이 있으므로, 이 Y 신호를 흑백 수상기로 수상하면 흑백 화상을 재생할 수 있다. 또 컬러 수상기로 흑백 방송의 전파를 수신하면 이 Y 신호로 흑백 화면을 재현할 수 있다."
"Y 접합부, -接合部, Y section",,"도파관 분기 회로의 일종으로 Y자형의 분기를 한 접합부. 전계 E를 포함한 면(面)에서 분기되느냐, 자계 H에 평행한 면 내에서 분기되느냐에 따라 E 분기와 H 분기의 2가지가 있다."
"Y 정합, -整合, Y-matching",,"접합부를 사용하여 임피던스 정합을 하는 것. 예를 들면, 반파장 안테나를 평행 2선식 급전선에 연결할 때에는 그림과 같이 Y 접합부를 설치하여 정합한다."
