keyword
내연기관
에너지
환경
오염물질
수소 연료전지 자동차
충돌안전성
화재안전성
세계기술기준
전기충격
인화성
본넷트
이동량
구조해석
유동해석
휨
뒤틀림
유리섬유
사출 스크류
자율주행 자동차
카메라센서
레이저스캐너
차선검출
위치파악 시스템
유니소재
크래쉬 패드
도어 트림
경량미세발포
일체성형
상용자동차
조종안정성
주요용어
유럽경제위원회
자동차안정성제어장치
방향성 제어
롤전복 제어
민감도 분석
경량 자동차
다종소재 차체
기계적 접합
복합 접합
내구성
자동차부품
진동
복합진동시험기
성능평가기술
6축 진동 내구시험
자동차 부품
시험장비
하이브리드 자동차
연료전지 자동차
전해액 누출
배터리 고정성
전기적 절연
정부 R&D
친환경 자동차
전기자동차
클린 디젤 자동차
실도로 주행 배출가스
주행특성
주행모드
질소 산화물
이동평균구간
소형자동차
삼륜형 이륜자동차
주행안정성
보상캠버
무게중심위치
추정한계횡가속도
호주자동차설계기준
캐나다자동차안전기준
연료전지 자동차 가상 샤시 플랫폼
연료전지 자동차
다물체 동역학
영구자석 동기 모터
회생제동
자동차안전기준
조화
자동차 안전기준실무위원회
세계기술기준
등화장치분과
충돌ㆍ충격분과
제동ㆍ주행분과
일반안전분과
오염ㆍ에너지분과
소음분과
자동차 내장부품
도어트림
단일공정
내환경성
폴리우레탄
자동차 부품
고분자
폴리프로필렌
유리 섬유
굴곡 탄성률
충격 강도
내후성
자동차 부품
내광성
옥외폭로시험
촉진시험
오존
자연조건
전기 자동차
인버터
파워 컨트롤 유닛
동력전달장치
출력밀도
자동차 인간공학
인적요소
인간공학적 연구방법론
감성공학
한국자동차공학회
대한인간공학회
미래형자동차
인력양성
현장실습
4차산업
교육과정
임베디드 소프트웨어
자율주행
스마트카소프트웨어플랫폼
커넥티드카
인공지능
생분해
쳔연섬유
폴리락틱산
자동차
내장부품
정의
분류
배기량
관리제도
전기 이륜자동차
전동기
자동차 안전기준에 관한 규칙
범퍼
도료
비염소
내구성
자동차
디자인 변화 요인
차량 기술
생산기술
상업적 요인
미래 방향
재제조
자동차부품
일괄적용제외법규
중고품
유럽 자동차부품 재제조협회
자율주행 자동차
평가 시나리오
임시운행 허가
안전성 평가항목
회생 제동 시스템
유압 제어
능동형 전자제어 브레이크
하이브리드 자동차
전기 자동차
친환경 자동차
주행 공격성
차세대 자동차
플러그인 하이브리드 자동차
하이브리드 전기 자동차
연비 평가
전동화된 자동차
에너지변환장치
파워트레인
자동차출력
전동화율
변동계수
태양광전지 또는 태양전지
경전기자동차
전기자동차
태양-전기 하이브리드 자동차
전동화
등가 회로 모델
마일드 하이브리드 자동차
리튬 배터리
정기검사
정기점검
검사주기
국제자동차검사위원회
비사업용자동차
사업용자동차
자동차 안전검사
운행 자동차
정적제동력
동적 제동력
측면 미끄러짐
자동차안전기준
장애인
장애인 자동차
충돌안전성
재활용 부품
자동차 보험
자동차 부품
연료전지 하이브리드 자동차
동력관리 전략
등가 수소 소모량
연료전지 자동차
주행거리확장 전기자동차
발전기
주행거리
배터리
전기자동차용 이차전지
최고속도
준중형급자동차
저소음자동차
소리발생장치
음압레벨
전기자동차
하이브리드 자동차
내연기관자동차
제상성능
자동차 전면유리
