word,synonym,description
"나노 선, -線, nano wire",,"10억 분의 1(1nm) 에 해당하는 크기의 초미세한 단위를 다루는 나노 기술을 이용해 제작된 전자 부품용 도선. 금, 은 등 각종 금속물을 증착시켜 형성되며, 가늘고 집적도가 높아서 기존의 진공관이나 트랜지스터 등과 같은 회로 부품 대체, 차세대 반도체와 미세 전자 소자 개발 등에 이용된다. 나노 전자 공학 기술로 반도체 회로의 크기가 점점 소형화/고속화됨에 따라 더욱 저렴하고 우수한 컴퓨터 부품들이 생산되고 있다."
"나노 섬유, -纖維, Nano Fiber",,"섬유의 굵기가 천 나노미터(nm) 이하인 섬유. 고분자 물질에 전기 및 유체 역학적 힘을 가해, 원료 물질 내부에서 전기적 반발력에 의해 분자들이 뭉치도록 유도하여 용액 상태의 폴리머(polymer)를 순간적으로 섬유 형태로 생산한다. 나노 섬유는 섬유 기술에 나노 기술을 접목하여 특수한 기능을 수행할 수 있는 섬유로 의류는 물론 우주․항공, 자동차, 전기, 전자, 환경, 보건 등 다양한 산업 분야에서 활용이 가능한 핵심 소재이다."
"나노 유체, -流體, Nanofluid",,"나노미터 크기의 입자를 물이나 오일등 일반 유체에 균일하게 혼입시켜 냉각성능을 극대화 시킨 유체. 열전달 성능이 우수하고 유체 안정성이 뛰어나며, 막힘 현상 없이 마이크로 채널 유동이 가능하다. 작고 가벼운 열교환기 설계가 가능해 기기의 소형화에 유리하다. 소형 전자기기나 자동차, 바이오(의료), 원자력시스템 등 광범위한 분야에 응용할 수 있다."
"나노 이미지센서, Nano Image Sensor",,나노 기술을 활용하여 사람의 육안으로 관찰할 수 없는 아주 어두운 곳에서도 선명한 화질의 영상을 얻을 수 있는 고감도 센서. 육안으로는 사물 식별이 어려운 0.1럭스(lux) 이하의 조명에서도 플래시 없이 선명한 영상을 얻을 수 있는 센서이다. 디지털 카메라 등에 사용되는 CCD 이미지 센서나 휴대폰 카메라 모듈 등에 적용되는 CMOS 이미지 센서에 비해 크기도 작고 감도는 수백 배 이상 높으며 가격도 저렴하다.
"나노임프린트, Nanoimprint",,"패턴이 새겨진 스탬프를 사용해 도장을 찍듯 기판 위에 미세 회로 패턴을 형성하는 기술. 반도체 미세 회로 패턴을 형성하는 데 핵심 장치인 고가의 노광 장치를 사용하지 않고 패턴이 각인된 스탬프를 고분자 용액에 찍어 인쇄함으로써 나노급 고해상도 패터닝을 할 수 있는 기술이다. 메모리 반도체, 차세대 디스플레이, LED 및 나노바이오 제품 등에 사용된다."
"나노 잉크, nano ink",,"전도성을 띤 나노 크기의 입자를 분산시킨 잉크 형태의 전자 소재로 디스플레이 및 전파 식별(RFID), 연성 회로 기판(FPCB)의 전극이나 회로를 잉크 분사 방식으로 인쇄하는 데 필요한 핵심 물질. 반도체의 회로선을 조각처럼 깎아 내는 방식인 현재의 기술과 달리, 회화처럼 붓으로 회로선을 그리는 방식이기 때문에 더 정교한 회로를 구성할 수 있다. 따라서 불량 확률이 반으로 줄어들고 비용도 절감된다. 나노 잉크 기술은 반도체뿐만 아니라 바코드나 바이오칩, 위조 방지 화폐 제작 등 응용될 수 있는 분야가 광범위하다."
"나노 잔디, nano grass",,"극히 미세한 수로망을 통해 뜨거운 부분에만 냉각수가 조금씩 흘려나와 반도체를 식혀 주는 냉각 기술. 2004년 미국 벨 연구소가 개발한 반도체 냉각 기술로써, 기존의 팬 방식 컴퓨터 쿨러에 비해 냉각 효율, 전력 소비, 소음 면에서 탁월한 성능을 가지고 있다."
"나노 적층 구조물, -積層構造物, nano layered structure",,반도체 물질을 대체할 차세대 소자. 전이 금속 산화물 박막을 레이저 박막 증착 방법으로 증착시키면서 발생하는 플라스마를 활성화시켜 서로 다른 원자들을 나노미터 크기로 겹겹이 쌓아 만든 것이다. 기존 반도체가 가질 수 없는 새로운 기능을 다수 갖고 있어 차세대 반도체 소자 개발 및 응용에 활용된다.
"나노초, -秒, nanosecond",,"10억분의 1초를 나타내는 단위. 보통 나노초는 컴퓨터의 클록 주기나 게이트의 지연 시간, 램의 접근 시간 등을 나타내는 단위로 많이 쓰인다."
"나노 컴퓨터, Nano Computer",,원자나 분자 크기의 나노 기술(NT)을 접목하거나 응용해 만든 컴퓨터. 세포 정도 크기의 나노 컴퓨터를 환자의 몸속으로 투입해 인슐린 수치나 약물의 농도 등을 감시하고 경우에 따라서는 약을 몸속의 필요한 부위까지 직접 전달하는 것도 가능하다.
"나노 큐플러스, Nano Qplus",,"한국전자통신연구원(ETRI)이 개발한 10KB 미만의 센서 노드용 초소형 운영 체계(OS). USN 기술의 활성화를 위한 초소형 OS로 산학연 전반에 걸쳐 다양한 분야에서 활용될 수 있다. 의료, 환경, 방재, 디지털 홈, 국방, 산업 기기 등의 응용 분야에 적합한 기술이다. 비용 절감이나 간편한 노드의 설치 등 산업 전반에 걸쳐서 큰 호응을 얻을 것으로 기대되고 있다."
"나노 탄환, -彈丸, Nano Bullet",,"나노미터 크기의 입자를 초고속으로 오염 입자에 충돌시켜 나노미터(㎚) 크기 오염 물질을 제거하는 기술. 아르곤, 질소, 이산화탄소 기체를 적절히 혼합해 초고속 노즐장치를 통과시켜 나노크기 고체입자를 만들고, 이 입자가 초고속으로 오염 물질에 부딪치면 오염물질을 표면에서 떼어 내게 된다."
"나노튜브, nanotube",,"원통형 구조로 이루어진 직경 1~10 nm 정도의 나노 소재로 현재 반도체 재료로 널리 사용되는 실리콘을 대체할 수 있는 신물질. 일반적으로 물질의 원자 배열에 따라 도체, 반도체, 부도체로 전기적 성질이 바뀌며, 허용 전류밀도가 크고, 열 전달, 인장 강도 등이 우수하여 액체 또는 에너지를 운반·저장하는 나노관, 나노 송곳, 나노 핀셋, 나노 캡슐 등 응용 범위가 매우 크다.  [어원] 나노(Nano)는 난쟁이를 뜻하는 고대 그리스어 ‘나노스(nanos)'에서 유래했다. 1 나노미터(nm)는 10억분의 1m다. 이는 머리카락 굵기의 8~10만분의 1, 수소 원자 10개를 나란히 늘어 놓은 정도의 크기다."
"나노튜브 안테나, Nanotube antenna",,"초단파 이상 전파를 송수신하기 위해 탄소 나노튜브(CNT)로 만든 안테나. 이 안테나의 직경은 대략 50nm, 길이가 200∼1000nm이다. 적외선 및 가시 광선파에서도 안테나로 사용되며, 나노튜브 안테나 응용 제품들이 태양광 발전, 광통신, 고속 광 컴퓨터 등에도 사용된다."
"나노 편광판 현미경, -偏光板顯微鏡, nano-polarizer microscope",,"빛의 세기와 방향을 나노 수준까지 측정할 수 있는 현미경. 현미경의 탐침(探針) 끝에 금속 나노 입자를 붙이면 나노 편광판의 기능을 한다는 원리를 이용한 현미경이다. 탐침 끝 나노 입자가 산란시킨 빛을 편광판을 통해 촬영한 뒤 빛의 크기와 전기적 방향을 관찰하면 기존 현미경으로는 볼 수 없는 물질의 구조를 파악할 수 있다. 이 현미경을 이용하면 탄소 나노 튜브와 같은 미세한 입자들의 구조와 특성을 파악할 수 있으며, 해상도도 기존의 현미경보다 10배 이상 높다."
"나노포토닉스, Nano Photonics",,"나노 기술과 광자 기술이 융합된 기술 분야로 전기를 흘려서 신호를 주고받는 일반 반도체와 달리 광으로 신호를 주고받는 광반도체의 핵심 기술. 기존 반도체는 회로 선폭이 좁아질수록 저항의 증가로 신호 처리 속도가 늦어지고 부품의 밀집도가 높아져 열 발생이 크지만 광반도체의 경우 이러한 문제점에서 자유로울 수 있다.  [어원] 나노 (Nano) 나노(Nano)는 난쟁이를 뜻하는 고대 그리스 어 ‘나노스(nanos)'에서 유래했다. 1 나노미터(nm)는 10억분의 1m다. 이는 머리카락 굵기의 8~10만분의 1, 수소 원자 10개를 나란히 늘어 놓은 정도의 크기다."
"나노 포토볼타익스, Nano PhotoVoltaics",,"나노 크기의 소재를 이용하여 제작된 광전 변환 소자. 입거나 먹을 수 있는 차세대 개인용 컴퓨터(PC)나 초소형 로봇 등 나노 전자 기기를 작동시키는 전기 에너지원으로 초소형, 박막형, 플렉시블한 성질을 가지고 있다."
"나노 플로팅 게이트 메모리, Nano Floating Gate Memory, NFGM",,"플래시 메모리의 셀 크기를 축소하고 저전력화를 실현한 메모리. 비휘발성 메모리인 플래시 메모리의 스토리지 노드(storage node)에 나노 크기 닷(dot)을 형성하여 셀 크기가 작아질 때 생기는 문제점을 없애고, 정보의 집적도를 높일 수 있으며, 낮은 전압에서 동작할 수 있기 때문에 다음 세대 메모리로 주목받고 있다."
"나노피에조트로닉스, Nanopiezotronics",,"압전 나노 소자를 이용하여 나노 전자나 나노 에너지 소자를 구현하는 기술. 나노선, 나노벨트와 같은 1차원적 나노 구조 소재의 압전성과 반전도성이 결합된 특성을 이용한다. 초고감도 압전 센서, 자가발전 MEMS/NEMS 및 나노 시스템, 스마트 웨어러블 시스템 등 다양한 미래 융합 나노 소자 및 시스템에 활용할 수 있는 기술이다. 압전 나노 소자란 압력이나 압전이 가해지면 결정 구조가 바뀌면서 역학적 에너지를 전기적 에너지로 변환하는 것이다."
"나라장터, -場-, Korea ON-line e-Procurement System, KONEPS",,"조달청에서 운영하고 있는 국가 종합 전자 조달 시스템. 공공 분야 물품·시설·용역·외자·리스·비축 등에 대한 입찰과 개찰을 온라인으로 제공하는 서비스이다. 2002년 10월부터 서비스를 시작했고, 입찰공고, 업체등록, 입찰 및 낙찰자 선정, 계약체결, 대금지급 등 조달 전 과정을 나라장터에 접속해 온라인으로 처리할 수 있다. 모든 수요기관의 입찰정보가 공고되고, 업체는 나라장터 1회 등록으로 어느 기관 입찰에나 참가 가능하다. 안전행정부, 금융기관, 관련협회 등 77개 기관 시스템과 연계한 서비스를 제공하여, 입찰/계약시 반복 제출하던 사업자등록증, 시/국세 완납증명서, 보증서, 자격심사서류 등의 제출을 생략할 수 있다. ※누리집: http://www.g2b.go.kr"
"나라타주, Narratage",,"내레이션(narration)과 몽타주(montage)의 합성어로 영화나 드라마에 단순히 내레이션을 화면에 추가하는 것뿐 아니라 해설에 맞추어 화면의 시간, 장소 등을 임의로 전환시켜 줄거리를 구성하는 기법. 예를 들면 주인공에게 회상하는 형식으로 과거의 사건을 이야기하게 하면서 장면을 구성해 가는 방법으로 1933년 플레스턴 스타제스가 《권력과 영광》에서 사용한 것이 최초이다. 그러나 남용하면 관객에게 혼란을 일으킬 우려가 있다."
