word,synonym,description
"카드식 공중전화, -式公衆電話, magnetic card pay station",,자성 재료를 이용한 명함 크기의 카드를 동전 대신 전화기에 넣어서 통화하는 방식의 공중전화. 자기 카드에는 미리 통화할 수 있는 횟수(도수)가 기록되어 있어서 통화가 끝나면 해당 요금만큼 소거되고 자기 카드가 되돌아오는 구조로 되어 있다.
"카드 전화, -電話, card dialer",,"전화의 자동 다이얼의 일종으로, 천공된 플라스틱 카드를 삽입하여 자동적으로 숫자를 송출할 수 있는 장치."
"카드 천공기, -穿孔器, card punch",,컴퓨터의 명령에 따라 천공 카드에 데이터를 천공하고 기록하는 장치.
"카드트랩, Cardtrap",,모바일 단말을 통해 PC를 감염하는 크로스 플랫폼형 악성 코드. 폰의 메모리 카드에 윈도웜을 복사하여 감염된 폰 메모리 카드를 PC에 장착했을 때 자동 실행 기능(autorun)을 통해 PC를 자동으로 감염해 데이터를 삭제하거나 성능을 떨어뜨린다.
"카드 판독기, -判讀機, card reader",,카드에 기록된 데이터를 읽어 이해하는 장치.
"카드 호퍼, card hopper",,처리하는 카드를 유지하여 카드 이송 기구로 보낼 수 있도록 하는 카드 처리 기구의 일부분.
"카디오이드 마이크, Cardioid Microphone",,"하트(heart) 모양의 지향성 마이크.&nbsp; 전지향성(omnidirectional)과 양지향성(bidirectional)을 조합하여 만든다. 옆면 감도가 정면 감도에 비해 약 6 dB 낮고, 뒷면의 감도는 거의 없다. 따라서 이런 종류의 마이크는 하울링에 강하고, 옥외나 극장 홀 등에서 PA용 마이크로 주로 사용하고 있다. "
"카렐 프로그래밍 언어, -言語, Karel programming language",,"컴퓨터 프로그래밍 초보자를 위한 교육용 프로그래밍 언어. 격자(그리드) 구조에서 카렐이라는 작은 로봇을 좌우(수평) 상하(수직) 방향 이동, 90도 회전, 소리를 내는 비퍼(beeper)를 잡거나 놓기 등의 단순 명령으로 제어하는 프로그램을 작성할 수 있다. 미국의 리처드 패티스(Richard E. Pattis) 교수가 만들었으며, 1981년 저술한 책(Karel The Robot: A Gentle Introduction to the Art of Programming)에 소개하였다. 리처드 패티스는 '로봇(robot)' 단어를 도입한 체코의 작가 카렐 채펙(Karel Čapek) 이름을 따서 ‘카렐’이라고 하였다. 카렐 언어는 다섯 가지의 기본 명령어를 지원한다. 프로그램에서 카렐 로봇이 향한 방향으로 한 칸 이동시키는 명령어 ‘move’, 왼쪽으로 90° 회전시키는 명령어 ‘turnLeft’, 비퍼를 집게 하는 명령어 ‘pickBeeper’, 비퍼를 내려놓게 하는 명령어 ‘putBeeper’, 그리고 프로그램을 종료하는 명령어 ‘turnOff’이다. 또한 카렐 로봇의 이동 방향이나, 주위 장애물 또는 비퍼 존재 여부에 대하여 논리 연산자를 이용하여 질의할 수 있다. 카렐 언어는 다양한 소프트웨어 교육 도구에 영향을 끼쳤다. 대표적인 예로, 교육용 로보마인드(RoboMind) 소프트웨어, 인터랙티브 온라인 프로그래밍 학습 플랫폼 codeHS, 파이선(Python) 학습용 러플(RUR-PLE), 파이선과 자바스크립트 학습용 리보그 세상(Reeborg’s World) 등이 있다. 황병욱 교사가 학생 교육용으로 만든 플레이봇(Playbot)도 카렐 언어의 영향을 받았다."
"카루넨 루베 변환, -變換, Karhunen-Loeve transform, KLT",,"직교 변환 부호화 방식의 하나. 시간축의 화상 신호를 주파수축으로 변환하여 부호화하는 변환 부호화 방식 중에서 입력 신호의 성질에 따라서 최적화한 변환 방식이다. 블록화된 화상 신호의 고유 행렬을 구하고, 이 행렬을 써서 직교 변환을 하기 때문에 변환된 신호 사이에는 상관이 없다. 한편, 이 변환은 각 블록마다 고유 행렬을 구해야 하므로 실용성이 부족하다. 그래서 영상 신호의 부호화에서 카루넨 루베 변환(KLT)에 가까우면서 높은 부호화 능률을 얻을 수 있는 이산 코사인 변환(DCT) 부호화 방식의 이용이 급속도로 보급되고 있다."
"카르노 도, -圖, Karnaugh map",,"2치 변수값의 조합에 대응하는 바둑판 칸에 함수값을 기입하여, 논리 함수의 표현 및 간단화에 사용하는 도표. 비치도(Veitch diagram)와 같은 것이다. ㉠4변 이하의 카르노 도표는 비치도와 동일하다. 즉, 도표의 상단과 하단, 좌우가 연결되어 있을 경우, 인접한 칸의 두 항 사이의 해밍(Hamming) 거리는 1이다. ㉡5 또는 6변수의 경우, 비치도는 4변수의 도표를 평행 이동한 것을 이용하고 카르노 도(표)는 경상(鏡像)을 이용하여 만든다. 따라서 해밍 거리가 1인 인접 항목에 나타나는 위치가 둘 다 서로 다르다. 전자 교환기에서는 트렁크의 상태를 여러 계전기들의 동적 복구의 조합으로 표시하여 트렁크를 제어하는데, 2개의 계전기를 갖는 트렁크의 경우 그림과 같이 표시한다."
"카메라 워크, Camera Work",,"연출자가 원하는 이미지를 얻으려고 하는 카메라 조작 방법. 카메라 워크에는 카메라를 움직이지 않고 왼쪽에서 오른쪽, 또는 그 반대로 이동하는 팬(Pan)이 있고, 상하로 움직이는 틸트(tilt), 렌즈를 조작하여 피사체를 가깝거나 멀게 하는 줌 인(zoom in)과 줌 아웃(zoom out), 프레임 속으로 피사체가 들어오고 나가는 프레임 인(frame in)과 프레임 아웃(frame out)이 있다. 또한 카메라를 움직이기 위한 페데스탈(pedestal)이나 달리(dolly) 따위를 사용하여, 피사체에 가까이 하거나 멀게 하는 기법을 달리 인(dolly in)과 달리 아웃(dolly out)이라 한다."
